ensembleDescription,k,dataset,errorRate
Linear SVC,1,Breast Cancer,0.22655146945576235
Decission Tree,1,Breast Cancer,0.24010293424436324
Extra Tree,1,Breast Cancer,0.34669188100605336
Logistic,1,Breast Cancer,0.12994847453830105
Passive Aggressive,1,Breast Cancer,0.17446511996938344
Perceptron,1,Breast Cancer,0.2167278064808203
Ridge,1,Breast Cancer,0.14281475336385657
SGD,1,Breast Cancer,0.18290766487914387
Multi-layer Perceptron,1,Breast Cancer,0.14653940484358008
Linear Discriminant,1,Breast Cancer,0.12504138605358833
Quadratic Discriminant,1,Breast Cancer,0.2052064052122858
BernoulliNB,1,Breast Cancer,0.5414991039050139
MultinomialNB,1,Breast Cancer,0.22159158370787302
Nearest Neighbors,1,Breast Cancer,0.09989832588921091
Extra Trees,1,Breast Cancer,0.06906380242972421
Random Forest (10 estimators),1,Breast Cancer,0.13005612261566393
Gradient Boosting,1,Breast Cancer,0.09625077591558037
Linear SVC-Decission Tree,2,Breast Cancer,0.26300440346676746
Linear SVC-Extra Tree,2,Breast Cancer,0.3059037491307412
Linear SVC-Logistic,2,Breast Cancer,0.20015625656319572
Linear SVC-Passive Aggressive,2,Breast Cancer,0.23771795643671556
Linear SVC-Perceptron,2,Breast Cancer,0.2611305965098967
Linear SVC-Ridge,2,Breast Cancer,0.21055499549618925
Linear SVC-SGD,2,Breast Cancer,0.2202773343974461
Linear SVC-Multi-layer Perceptron,2,Breast Cancer,0.2363636745495022
Linear SVC-Linear Discriminant,2,Breast Cancer,0.18315864148266386
Linear SVC-Quadratic Discriminant,2,Breast Cancer,0.21028563027680938
Linear SVC-BernoulliNB,2,Breast Cancer,0.2499127357499895
Linear SVC-MultinomialNB,2,Breast Cancer,0.23002557604439403
Linear SVC-Nearest Neighbors,2,Breast Cancer,0.19134218227132077
Linear SVC-Extra Trees,2,Breast Cancer,0.15901022341701548
Linear SVC-Random Forest (10 estimators),2,Breast Cancer,0.2021029062413949
Linear SVC-Gradient Boosting,2,Breast Cancer,0.16949328628834653
Decission Tree-Extra Tree,2,Breast Cancer,0.29172092241777625
Decission Tree-Logistic,2,Breast Cancer,0.19617059408297277
Decission Tree-Passive Aggressive,2,Breast Cancer,0.2252988266756276
Decission Tree-Perceptron,2,Breast Cancer,0.23623641272641568
Decission Tree-Ridge,2,Breast Cancer,0.1937227496114588
Decission Tree-SGD,2,Breast Cancer,0.21298656324237034
Decission Tree-Multi-layer Perceptron,2,Breast Cancer,0.21675466599459536
Decission Tree-Linear Discriminant,2,Breast Cancer,0.1890058362853129
Decission Tree-Quadratic Discriminant,2,Breast Cancer,0.21266492581546975
Decission Tree-BernoulliNB,2,Breast Cancer,0.2250812086081125
Decission Tree-MultinomialNB,2,Breast Cancer,0.20856204757704316
Decission Tree-Nearest Neighbors,2,Breast Cancer,0.17276587651624403
Decission Tree-Extra Trees,2,Breast Cancer,0.16212982409468737
Decission Tree-Random Forest (10 estimators),2,Breast Cancer,0.1961457647844005
Decission Tree-Gradient Boosting,2,Breast Cancer,0.1741980416590825
Extra Tree-Logistic,2,Breast Cancer,0.23462239164018048
Extra Tree-Passive Aggressive,2,Breast Cancer,0.2617423913601508
Extra Tree-Perceptron,2,Breast Cancer,0.28124824398052867
Extra Tree-Ridge,2,Breast Cancer,0.2392213307943976
Extra Tree-SGD,2,Breast Cancer,0.2524710635994082
Extra Tree-Multi-layer Perceptron,2,Breast Cancer,0.24712799223384335
Extra Tree-Linear Discriminant,2,Breast Cancer,0.2277469278410178
Extra Tree-Quadratic Discriminant,2,Breast Cancer,0.2592430564306484
Extra Tree-BernoulliNB,2,Breast Cancer,0.2821419120426765
Extra Tree-MultinomialNB,2,Breast Cancer,0.2621672663969047
Extra Tree-Nearest Neighbors,2,Breast Cancer,0.2117794369536504
Extra Tree-Extra Trees,2,Breast Cancer,0.2085785809962523
Extra Tree-Random Forest (10 estimators),2,Breast Cancer,0.24312805990768357
Extra Tree-Gradient Boosting,2,Breast Cancer,0.2167392876978293
Logistic-Passive Aggressive,2,Breast Cancer,0.17079642775467532
Logistic-Perceptron,2,Breast Cancer,0.17906286899744708
Logistic-Ridge,2,Breast Cancer,0.14073353775500205
Logistic-SGD,2,Breast Cancer,0.14753398860279193
Logistic-Multi-layer Perceptron,2,Breast Cancer,0.1550991421757373
Logistic-Linear Discriminant,2,Breast Cancer,0.11747681587581615
Logistic-Quadratic Discriminant,2,Breast Cancer,0.14101662442885612
Logistic-BernoulliNB,2,Breast Cancer,0.16108441494798448
Logistic-MultinomialNB,2,Breast Cancer,0.14739918931406729
Logistic-Nearest Neighbors,2,Breast Cancer,0.10885059482971862
Logistic-Extra Trees,2,Breast Cancer,0.09230500599730238
Logistic-Random Forest (10 estimators),2,Breast Cancer,0.13476372495484518
Logistic-Gradient Boosting,2,Breast Cancer,0.10393361196286806
Passive Aggressive-Perceptron,2,Breast Cancer,0.19990252633445812
Passive Aggressive-Ridge,2,Breast Cancer,0.16797879241866304
Passive Aggressive-SGD,2,Breast Cancer,0.17836331984523687
Passive Aggressive-Multi-layer Perceptron,2,Breast Cancer,0.18919270942719926
Passive Aggressive-Linear Discriminant,2,Breast Cancer,0.14622260959661723
