ensembleDescription,k,dataset,errorRate,timeTaken
BernoulliNB,1,airlines,0.37351999999999996,102.5515
BernoulliNB-Extra Trees,2,airlines,0.36584000000000005,324.1284
BernoulliNB-Extra Trees-Gradient Boosting,3,airlines,0.35684000000000005,353.3428
BernoulliNB-Extra Trees-Random Forest (10 estimators),3,airlines,0.36652,360.3335
BernoulliNB-Extra Trees-Random Forest (10 estimators)-Gradient Boosting,4,airlines,0.35727999999999993,345.77239999999995
BernoulliNB-Gradient Boosting,2,airlines,0.35768,128.9408
BernoulliNB-MultinomialNB,2,airlines,0.37956,126.3068
BernoulliNB-MultinomialNB-Extra Trees,3,airlines,0.37012,335.4829
BernoulliNB-MultinomialNB-Extra Trees-Gradient Boosting,4,airlines,0.35656000000000004,387.1051
BernoulliNB-MultinomialNB-Extra Trees-Random Forest (10 estimators),4,airlines,0.36108,362.8679
BernoulliNB-MultinomialNB-Extra Trees-Random Forest (10 estimators)-Gradient Boosting,5,airlines,0.35828,351.8017000000001
BernoulliNB-MultinomialNB-Gradient Boosting,3,airlines,0.36192,137.8041
BernoulliNB-MultinomialNB-Nearest Neighbors,3,airlines,0.39708000000000004,2335.9033
BernoulliNB-MultinomialNB-Nearest Neighbors-Extra Trees,4,airlines,0.37068,2535.5494
BernoulliNB-MultinomialNB-Nearest Neighbors-Extra Trees-Gradient Boosting,5,airlines,0.35831999999999997,2590.0948
BernoulliNB-MultinomialNB-Nearest Neighbors-Extra Trees-Random Forest (10 estimators),5,airlines,0.36668,2653.2661
BernoulliNB-MultinomialNB-Nearest Neighbors-Gradient Boosting,4,airlines,0.36388000000000004,2457.0941
BernoulliNB-MultinomialNB-Nearest Neighbors-Random Forest (10 estimators),4,airlines,0.36951999999999996,2374.6616
BernoulliNB-MultinomialNB-Nearest Neighbors-Random Forest (10 estimators)-Gradient Boosting,5,airlines,0.35840000000000005,2482.9121000000005
BernoulliNB-MultinomialNB-Random Forest (10 estimators),3,airlines,0.36944000000000005,142.4159
BernoulliNB-MultinomialNB-Random Forest (10 estimators)-Gradient Boosting,4,airlines,0.35660000000000003,164.9092
BernoulliNB-Nearest Neighbors,2,airlines,0.39292000000000005,2321.7441
BernoulliNB-Nearest Neighbors-Extra Trees,3,airlines,0.37044,2491.0485
BernoulliNB-Nearest Neighbors-Extra Trees-Gradient Boosting,4,airlines,0.35848,2562.3466
BernoulliNB-Nearest Neighbors-Extra Trees-Random Forest (10 estimators),4,airlines,0.36608,2519.872
BernoulliNB-Nearest Neighbors-Extra Trees-Random Forest (10 estimators)-Gradient Boosting,5,airlines,0.35868,2433.4346
BernoulliNB-Nearest Neighbors-Gradient Boosting,3,airlines,0.35784,2363.6357000000003
BernoulliNB-Nearest Neighbors-Random Forest (10 estimators),3,airlines,0.3694,2346.1124
BernoulliNB-Nearest Neighbors-Random Forest (10 estimators)-Gradient Boosting,4,airlines,0.35952,2239.9985000000006
BernoulliNB-Random Forest (10 estimators),2,airlines,0.36704,136.67970000000003
BernoulliNB-Random Forest (10 estimators)-Gradient Boosting,3,airlines,0.35648,161.05929999999998
Decision Tree,1,airlines,0.41752,88.69740000000002
Decision Tree-BernoulliNB,2,airlines,0.37692000000000003,121.80149999999999
Decision Tree-BernoulliNB-Extra Trees,3,airlines,0.37451999999999996,324.7131
Decision Tree-BernoulliNB-Extra Trees-Gradient Boosting,4,airlines,0.358,365.0231
Decision Tree-BernoulliNB-Extra Trees-Random Forest (10 estimators),4,airlines,0.36576,390.9464
Decision Tree-BernoulliNB-Extra Trees-Random Forest (10 estimators)-Gradient Boosting,5,airlines,0.3603199999999999,380.4035
