ensembleDescription,k,dataset,errorRate,timeTaken
BernoulliNB,1,Australian,0.13478260869565217,1.8000999999999994
BernoulliNB-Extra Trees,2,Australian,0.1391304347826087,16.2955
BernoulliNB-Extra Trees-Gradient Boosting,3,Australian,0.1391304347826087,15.393
BernoulliNB-Extra Trees-Random Forest (10 estimators),3,Australian,0.1289855072463768,17.8005
BernoulliNB-Extra Trees-Random Forest (10 estimators)-Gradient Boosting,4,Australian,0.13043478260869565,18.599600000000002
BernoulliNB-Gradient Boosting,2,Australian,0.14057971014492754,3.1006
BernoulliNB-MultinomialNB,2,Australian,0.19565217391304346,2.5993
BernoulliNB-MultinomialNB-Extra Trees,3,Australian,0.13333333333333333,17.9996
BernoulliNB-MultinomialNB-Extra Trees-Gradient Boosting,4,Australian,0.13333333333333336,17.388199999999998
BernoulliNB-MultinomialNB-Extra Trees-Random Forest (10 estimators),4,Australian,0.13478260869565215,19.6115
BernoulliNB-MultinomialNB-Extra Trees-Random Forest (10 estimators)-Gradient Boosting,5,Australian,0.1289855072463768,18.000999999999998
BernoulliNB-MultinomialNB-Gradient Boosting,3,Australian,0.14202898550724635,3.2018999999999997
BernoulliNB-MultinomialNB-Nearest Neighbors,3,Australian,0.2217391304347826,7.798599999999999
BernoulliNB-MultinomialNB-Nearest Neighbors-Extra Trees,4,Australian,0.17826086956521742,21.6004
BernoulliNB-MultinomialNB-Nearest Neighbors-Extra Trees-Gradient Boosting,5,Australian,0.14057971014492754,21.0006
BernoulliNB-MultinomialNB-Nearest Neighbors-Extra Trees-Random Forest (10 estimators),5,Australian,0.136231884057971,20.201
BernoulliNB-MultinomialNB-Nearest Neighbors-Gradient Boosting,4,Australian,0.17826086956521742,7.1008
BernoulliNB-MultinomialNB-Nearest Neighbors-Random Forest (10 estimators),4,Australian,0.17826086956521742,8.599599999999999
BernoulliNB-MultinomialNB-Nearest Neighbors-Random Forest (10 estimators)-Gradient Boosting,5,Australian,0.1391304347826087,8.9001
BernoulliNB-MultinomialNB-Random Forest (10 estimators),3,Australian,0.13333333333333336,3.9994
BernoulliNB-MultinomialNB-Random Forest (10 estimators)-Gradient Boosting,4,Australian,0.13333333333333333,5.7007
BernoulliNB-Nearest Neighbors,2,Australian,0.2217391304347826,6.780499999999999
BernoulliNB-Nearest Neighbors-Extra Trees,3,Australian,0.1391304347826087,18.798900000000003
BernoulliNB-Nearest Neighbors-Extra Trees-Gradient Boosting,4,Australian,0.14057971014492754,22.016000000000002
BernoulliNB-Nearest Neighbors-Extra Trees-Random Forest (10 estimators),4,Australian,0.14057971014492754,21.7989
BernoulliNB-Nearest Neighbors-Extra Trees-Random Forest (10 estimators)-Gradient Boosting,5,Australian,0.13043478260869565,21.9982
BernoulliNB-Nearest Neighbors-Gradient Boosting,3,Australian,0.14202898550724635,6.2999
BernoulliNB-Nearest Neighbors-Random Forest (10 estimators),3,Australian,0.14057971014492754,7.7996
BernoulliNB-Nearest Neighbors-Random Forest (10 estimators)-Gradient Boosting,4,Australian,0.13768115942028986,9.084700000000002
BernoulliNB-Random Forest (10 estimators),2,Australian,0.13768115942028986,3.4004000000000003
BernoulliNB-Random Forest (10 estimators)-Gradient Boosting,3,Australian,0.13333333333333336,5.1973
Decision Tree,1,Australian,0.20724637681159425,1.7994999999999997
Decision Tree-BernoulliNB,2,Australian,0.17246376811594202,2.5000000000000004
Decision Tree-BernoulliNB-Extra Trees,3,Australian,0.14202898550724635,17.0527
Decision Tree-BernoulliNB-Extra Trees-Gradient Boosting,4,Australian,0.14782608695652175,16.5019
Decision Tree-BernoulliNB-Extra Trees-Random Forest (10 estimators),4,Australian,0.13623188405797101,17.701900000000002
Decision Tree-BernoulliNB-Extra Trees-Random Forest (10 estimators)-Gradient Boosting,5,Australian,0.1391304347826087,18.104300000000002
Decision Tree-BernoulliNB-Gradient Boosting,3,Australian,0.14492753623188406,3.3007
Decision Tree-BernoulliNB-MultinomialNB,3,Australian,0.16231884057971016,3.2001000000000004
Decision Tree-BernoulliNB-MultinomialNB-Extra Trees,4,Australian,0.15507246376811593,17.900399999999998
Decision Tree-BernoulliNB-MultinomialNB-Extra Trees-Gradient Boosting,5,Australian,0.14782608695652172,15.700500000000002
Decision Tree-BernoulliNB-MultinomialNB-Extra Trees-Random Forest (10 estimators),5,Australian,0.1391304347826087,18.499900000000004
Decision Tree-BernoulliNB-MultinomialNB-Gradient Boosting,4,Australian,0.1579710144927536,3.0995
Decision Tree-BernoulliNB-MultinomialNB-Nearest Neighbors,4,Australian,0.1956521739130435,8.000000000000002
Decision Tree-BernoulliNB-MultinomialNB-Nearest Neighbors-Extra Trees,5,Australian,0.1492753623188406,22.1998
Decision Tree-BernoulliNB-MultinomialNB-Nearest Neighbors-Gradient Boosting,5,Australian,0.15652173913043477,7.499799999999999
Decision Tree-BernoulliNB-MultinomialNB-Nearest Neighbors-Random Forest (10 estimators),5,Australian,0.15217391304347824,10.399999999999999
Decision Tree-BernoulliNB-MultinomialNB-Random Forest (10 estimators),4,Australian,0.1463768115942029,4.999599999999999
Decision Tree-BernoulliNB-MultinomialNB-Random Forest (10 estimators)-Gradient Boosting,5,Australian,0.1449275362318841,5.299999999999999
Decision Tree-BernoulliNB-Nearest Neighbors,3,Australian,0.16231884057971016,6.799799999999999
Decision Tree-BernoulliNB-Nearest Neighbors-Extra Trees,4,Australian,0.15362318840579708,20.6999
Decision Tree-BernoulliNB-Nearest Neighbors-Extra Trees-Gradient Boosting,5,Australian,0.14637681159420288,21.799799999999998
Decision Tree-BernoulliNB-Nearest Neighbors-Extra Trees-Random Forest (10 estimators),5,Australian,0.1391304347826087,23.2998
Decision Tree-BernoulliNB-Nearest Neighbors-Gradient Boosting,4,Australian,0.15797101449275364,7.8972999999999995
Decision Tree-BernoulliNB-Nearest Neighbors-Random Forest (10 estimators),4,Australian,0.15217391304347827,8.6033
Decision Tree-BernoulliNB-Nearest Neighbors-Random Forest (10 estimators)-Gradient Boosting,5,Australian,0.14057971014492754,8.5999
Decision Tree-BernoulliNB-Random Forest (10 estimators),3,Australian,0.14637681159420288,4.300199999999999
Decision Tree-BernoulliNB-Random Forest (10 estimators)-Gradient Boosting,4,Australian,0.14202898550724635,4.848699999999999
Decision Tree-Extra Tree,2,Australian,0.20579710144927535,2.5006
Decision Tree-Extra Tree-BernoulliNB,3,Australian,0.14782608695652172,2.9006
Decision Tree-Extra Tree-BernoulliNB-Extra Trees,4,Australian,0.1536231884057971,15.801299999999998
Decision Tree-Extra Tree-BernoulliNB-Extra Trees-Gradient Boosting,5,Australian,0.1449275362318841,18.000199999999996
Decision Tree-Extra Tree-BernoulliNB-Extra Trees-Random Forest (10 estimators),5,Australian,0.14057971014492757,17.4992
Decision Tree-Extra Tree-BernoulliNB-Gradient Boosting,4,Australian,0.15362318840579708,2.7998000000000003
Decision Tree-Extra Tree-BernoulliNB-MultinomialNB,4,Australian,0.17101449275362318,2.5997000000000003
Decision Tree-Extra Tree-BernoulliNB-MultinomialNB-Extra Trees,5,Australian,0.15072463768115943,17.905099999999997
Decision Tree-Extra Tree-BernoulliNB-MultinomialNB-Gradient Boosting,5,Australian,0.15072463768115943,3.6001
Decision Tree-Extra Tree-BernoulliNB-MultinomialNB-Nearest Neighbors,5,Australian,0.16521739130434782,6.7005
Decision Tree-Extra Tree-BernoulliNB-MultinomialNB-Random Forest (10 estimators),5,Australian,0.14492753623188406,4.794499999999999
Decision Tree-Extra Tree-BernoulliNB-Nearest Neighbors,4,Australian,0.16956521739130434,6.300199999999999
Decision Tree-Extra Tree-BernoulliNB-Nearest Neighbors-Extra Trees,5,Australian,0.15072463768115943,19.1001
Decision Tree-Extra Tree-BernoulliNB-Nearest Neighbors-Gradient Boosting,5,Australian,0.14637681159420293,7.600199999999998
Decision Tree-Extra Tree-BernoulliNB-Nearest Neighbors-Random Forest (10 estimators),5,Australian,0.14347826086956522,8.7
Decision Tree-Extra Tree-BernoulliNB-Random Forest (10 estimators),4,Australian,0.14492753623188406,4.699
Decision Tree-Extra Tree-BernoulliNB-Random Forest (10 estimators)-Gradient Boosting,5,Australian,0.14202898550724635,6.100700000000001
Decision Tree-Extra Tree-Extra Trees,3,Australian,0.16086956521739132,15.900299999999998
Decision Tree-Extra Tree-Extra Trees-Gradient Boosting,4,Australian,0.1579710144927536,16.5002
Decision Tree-Extra Tree-Extra Trees-Random Forest (10 estimators),4,Australian,0.14782608695652177,16.0995
Decision Tree-Extra Tree-Extra Trees-Random Forest (10 estimators)-Gradient Boosting,5,Australian,0.14782608695652172,19.7999
Decision Tree-Extra Tree-Gradient Boosting,3,Australian,0.15942028985507245,3.3995999999999995
Decision Tree-Extra Tree-Linear Discriminant,3,Australian,0.15072463768115943,2.8081
Decision Tree-Extra Tree-Linear Discriminant-BernoulliNB,4,Australian,0.14637681159420293,2.9997999999999996
Decision Tree-Extra Tree-Linear Discriminant-BernoulliNB-Extra Trees,5,Australian,0.13768115942028986,16.400299999999998
Decision Tree-Extra Tree-Linear Discriminant-BernoulliNB-Gradient Boosting,5,Australian,0.14202898550724638,3.6002
