ensembleDescription,k,dataset,errorRate,timeTaken
BernoulliNB,1,car,0.22517139400457048,5.2965
BernoulliNB-Extra Trees,2,car,0.1933492404893131,21.3196
BernoulliNB-Extra Trees-Gradient Boosting,3,car,0.1586637988977013,26.1861
BernoulliNB-Extra Trees-Random Forest (10 estimators),3,car,0.16906506250840167,25.3736
BernoulliNB-Extra Trees-Random Forest (10 estimators)-Gradient Boosting,4,car,0.16851055249361474,23.729300000000002
BernoulliNB-Gradient Boosting,2,car,0.19624949589998655,8.1964
BernoulliNB-MultinomialNB,2,car,0.2298359994622933,5.5165999999999995
BernoulliNB-MultinomialNB-Extra Trees,3,car,0.20956109692162928,20.0898
BernoulliNB-MultinomialNB-Extra Trees-Gradient Boosting,4,car,0.1997681139938164,23.641399999999997
BernoulliNB-MultinomialNB-Extra Trees-Random Forest (10 estimators),4,car,0.19744253259846753,24.9615
BernoulliNB-MultinomialNB-Extra Trees-Random Forest (10 estimators)-Gradient Boosting,5,car,0.1847056055921495,27.1047
BernoulliNB-MultinomialNB-Gradient Boosting,3,car,0.22229130259443472,9.057600000000003
BernoulliNB-MultinomialNB-Nearest Neighbors,3,car,0.2153817717435139,16.921200000000002
BernoulliNB-MultinomialNB-Nearest Neighbors-Extra Trees,4,car,0.19166890711117085,36.4783
BernoulliNB-MultinomialNB-Nearest Neighbors-Extra Trees-Gradient Boosting,5,car,0.18123067616615138,39.4876
BernoulliNB-MultinomialNB-Nearest Neighbors-Extra Trees-Random Forest (10 estimators),5,car,0.18180535018147598,41.4257
BernoulliNB-MultinomialNB-Nearest Neighbors-Gradient Boosting,4,car,0.19571851055249362,22.076600000000003
BernoulliNB-MultinomialNB-Nearest Neighbors-Random Forest (10 estimators),4,car,0.19167226777792715,23.35
BernoulliNB-MultinomialNB-Nearest Neighbors-Random Forest (10 estimators)-Gradient Boosting,5,car,0.1881704530178787,26.832900000000002
BernoulliNB-MultinomialNB-Random Forest (10 estimators),3,car,0.2205639198817045,8.105300000000002
BernoulliNB-MultinomialNB-Random Forest (10 estimators)-Gradient Boosting,4,car,0.20726576152708698,10.2932
BernoulliNB-Nearest Neighbors,2,car,0.1876159430030918,18.191899999999997
BernoulliNB-Nearest Neighbors-Extra Trees,3,car,0.17428753864766772,37.402
BernoulliNB-Nearest Neighbors-Extra Trees-Gradient Boosting,4,car,0.16561365774969755,40.709399999999995
BernoulliNB-Nearest Neighbors-Extra Trees-Random Forest (10 estimators),4,car,0.16792243581126493,40.5284
BernoulliNB-Nearest Neighbors-Extra Trees-Random Forest (10 estimators)-Gradient Boosting,5,car,0.16619169243177848,40.88520000000001
BernoulliNB-Nearest Neighbors-Gradient Boosting,3,car,0.17139064390375053,21.2984
BernoulliNB-Nearest Neighbors-Random Forest (10 estimators),3,car,0.17023793520634492,20.430200000000003
BernoulliNB-Nearest Neighbors-Random Forest (10 estimators)-Gradient Boosting,4,car,0.16445422771877943,23.396600000000003
BernoulliNB-Random Forest (10 estimators),2,car,0.20029237800779676,9.206199999999999
BernoulliNB-Random Forest (10 estimators)-Gradient Boosting,3,car,0.17312474794999327,11.2897
Decision Tree,1,car,0.10589460949052291,4.7865
Decision Tree-BernoulliNB,2,car,0.18868463503159025,6.4525999999999994
