ensembleDescription,k,dataset,errorRate,timeTaken
BernoulliNB,1,credit-g,0.27199999999999996,4.1239
BernoulliNB-Extra Trees,2,credit-g,0.27199999999999996,17.5982
BernoulliNB-Extra Trees-Gradient Boosting,3,credit-g,0.24100000000000002,17.7817
BernoulliNB-Extra Trees-Random Forest (10 estimators),3,credit-g,0.24700000000000003,20.882299999999997
BernoulliNB-Extra Trees-Random Forest (10 estimators)-Gradient Boosting,4,credit-g,0.24500000000000002,19.9058
BernoulliNB-Gradient Boosting,2,credit-g,0.26399999999999996,4.6448
BernoulliNB-MultinomialNB,2,credit-g,0.346,2.9922000000000004
BernoulliNB-MultinomialNB-Extra Trees,3,credit-g,0.25999999999999995,17.7928
BernoulliNB-MultinomialNB-Extra Trees-Gradient Boosting,4,credit-g,0.251,19.334600000000002
BernoulliNB-MultinomialNB-Extra Trees-Random Forest (10 estimators),4,credit-g,0.255,18.756099999999996
BernoulliNB-MultinomialNB-Extra Trees-Random Forest (10 estimators)-Gradient Boosting,5,credit-g,0.24000000000000005,18.701999999999998
BernoulliNB-MultinomialNB-Gradient Boosting,3,credit-g,0.255,4.1028
BernoulliNB-MultinomialNB-Nearest Neighbors,3,credit-g,0.29999999999999993,8.5061
BernoulliNB-MultinomialNB-Nearest Neighbors-Extra Trees,4,credit-g,0.278,32.9118
BernoulliNB-MultinomialNB-Nearest Neighbors-Extra Trees-Gradient Boosting,5,credit-g,0.24500000000000002,24.173899999999996
BernoulliNB-MultinomialNB-Nearest Neighbors-Extra Trees-Random Forest (10 estimators),5,credit-g,0.24900000000000003,23.428099999999997
BernoulliNB-MultinomialNB-Nearest Neighbors-Gradient Boosting,4,credit-g,0.273,10.449300000000001
BernoulliNB-MultinomialNB-Nearest Neighbors-Random Forest (10 estimators),4,credit-g,0.27,10.511099999999999
BernoulliNB-MultinomialNB-Nearest Neighbors-Random Forest (10 estimators)-Gradient Boosting,5,credit-g,0.24300000000000002,11.6052
BernoulliNB-MultinomialNB-Random Forest (10 estimators),3,credit-g,0.255,4.9998000000000005
BernoulliNB-MultinomialNB-Random Forest (10 estimators)-Gradient Boosting,4,credit-g,0.253,6.2101
BernoulliNB-Nearest Neighbors,2,credit-g,0.331,8.114799999999999
BernoulliNB-Nearest Neighbors-Extra Trees,3,credit-g,0.24699999999999997,21.903
BernoulliNB-Nearest Neighbors-Extra Trees-Gradient Boosting,4,credit-g,0.24400000000000005,23.592599999999997
BernoulliNB-Nearest Neighbors-Extra Trees-Random Forest (10 estimators),4,credit-g,0.24800000000000005,24.891
BernoulliNB-Nearest Neighbors-Extra Trees-Random Forest (10 estimators)-Gradient Boosting,5,credit-g,0.24100000000000002,23.1143
BernoulliNB-Nearest Neighbors-Gradient Boosting,3,credit-g,0.24800000000000005,10.7955
BernoulliNB-Nearest Neighbors-Random Forest (10 estimators),3,credit-g,0.24700000000000005,10.9698
BernoulliNB-Nearest Neighbors-Random Forest (10 estimators)-Gradient Boosting,4,credit-g,0.23900000000000002,11.805100000000001
BernoulliNB-Random Forest (10 estimators),2,credit-g,0.27599999999999997,6.0474
BernoulliNB-Random Forest (10 estimators)-Gradient Boosting,3,credit-g,0.23600000000000004,5.696700000000001
Decision Tree,1,credit-g,0.33899999999999997,2.7009000000000003
Decision Tree-BernoulliNB,2,credit-g,0.3429999999999999,3.945099999999999
Decision Tree-BernoulliNB-Extra Trees,3,credit-g,0.256,19.005399999999998
Decision Tree-BernoulliNB-Extra Trees-Gradient Boosting,4,credit-g,0.251,20.603499999999997
Decision Tree-BernoulliNB-Extra Trees-Random Forest (10 estimators),4,credit-g,0.26000000000000006,20.6231
Decision Tree-BernoulliNB-Extra Trees-Random Forest (10 estimators)-Gradient Boosting,5,credit-g,0.238,21.4019
Decision Tree-BernoulliNB-Gradient Boosting,3,credit-g,0.24700000000000003,4.803699999999999
Decision Tree-BernoulliNB-MultinomialNB,3,credit-g,0.29100000000000004,4.0327
Decision Tree-BernoulliNB-MultinomialNB-Extra Trees,4,credit-g,0.2780000000000001,18.4646
Decision Tree-BernoulliNB-MultinomialNB-Extra Trees-Gradient Boosting,5,credit-g,0.246,20.0055
Decision Tree-BernoulliNB-MultinomialNB-Extra Trees-Random Forest (10 estimators),5,credit-g,0.24500000000000002,19.711799999999997
Decision Tree-BernoulliNB-MultinomialNB-Gradient Boosting,4,credit-g,0.268,4.5536
Decision Tree-BernoulliNB-MultinomialNB-Nearest Neighbors,4,credit-g,0.304,9.311
Decision Tree-BernoulliNB-MultinomialNB-Nearest Neighbors-Extra Trees,5,credit-g,0.269,23.8095
Decision Tree-BernoulliNB-MultinomialNB-Nearest Neighbors-Gradient Boosting,5,credit-g,0.271,10.895299999999999
Decision Tree-BernoulliNB-MultinomialNB-Nearest Neighbors-Random Forest (10 estimators),5,credit-g,0.26600000000000007,12.4011
Decision Tree-BernoulliNB-MultinomialNB-Random Forest (10 estimators),4,credit-g,0.274,6.357600000000001
Decision Tree-BernoulliNB-MultinomialNB-Random Forest (10 estimators)-Gradient Boosting,5,credit-g,0.24400000000000005,6.6003
Decision Tree-BernoulliNB-Nearest Neighbors,3,credit-g,0.277,10.3259
Decision Tree-BernoulliNB-Nearest Neighbors-Extra Trees,4,credit-g,0.273,23.9
Decision Tree-BernoulliNB-Nearest Neighbors-Extra Trees-Gradient Boosting,5,credit-g,0.24699999999999997,24.789800000000003
Decision Tree-BernoulliNB-Nearest Neighbors-Extra Trees-Random Forest (10 estimators),5,credit-g,0.251,26.1221
Decision Tree-BernoulliNB-Nearest Neighbors-Gradient Boosting,4,credit-g,0.262,11.255800000000002
Decision Tree-BernoulliNB-Nearest Neighbors-Random Forest (10 estimators),4,credit-g,0.26400000000000007,11.566199999999998
Decision Tree-BernoulliNB-Nearest Neighbors-Random Forest (10 estimators)-Gradient Boosting,5,credit-g,0.246,14.1213
Decision Tree-BernoulliNB-Random Forest (10 estimators),3,credit-g,0.255,6.762100000000001
Decision Tree-BernoulliNB-Random Forest (10 estimators)-Gradient Boosting,4,credit-g,0.253,7.097500000000001
