ensembleDescription,k,dataset,errorRate,timeTaken
BernoulliNB,1,dna,0.060588316476410164,11.8029
BernoulliNB-Extra Trees,2,dna,0.05211746613828592,35.285999999999994
BernoulliNB-Extra Trees-Gradient Boosting,3,dna,0.03610338912876323,37.8018
BernoulliNB-Extra Trees-Random Forest (10 estimators),3,dna,0.041755880207409155,35.5098
BernoulliNB-Extra Trees-Random Forest (10 estimators)-Gradient Boosting,4,dna,0.03987303089450129,46.907399999999996
BernoulliNB-Gradient Boosting,2,dna,0.049288263244021205,17.801400000000005
BernoulliNB-MultinomialNB,2,dna,0.060588316476410164,13.1912
BernoulliNB-MultinomialNB-Extra Trees,3,dna,0.05713412590445771,32.4942
BernoulliNB-MultinomialNB-Extra Trees-Gradient Boosting,4,dna,0.04583801581199108,44.0026
BernoulliNB-MultinomialNB-Extra Trees-Random Forest (10 estimators),4,dna,0.04740541393111334,41.4149
BernoulliNB-MultinomialNB-Extra Trees-Random Forest (10 estimators)-Gradient Boosting,5,dna,0.03767374460282723,42.205
BernoulliNB-MultinomialNB-Gradient Boosting,3,dna,0.05744859131326274,17.0115
BernoulliNB-MultinomialNB-Nearest Neighbors,3,dna,0.06027385106760513,62.556799999999996
BernoulliNB-MultinomialNB-Nearest Neighbors-Extra Trees,4,dna,0.050233631040397464,94.54890000000002
BernoulliNB-MultinomialNB-Nearest Neighbors-Extra Trees-Gradient Boosting,5,dna,0.0436397153052976,88.83299999999998
BernoulliNB-MultinomialNB-Nearest Neighbors-Extra Trees-Random Forest (10 estimators),5,dna,0.04709489166223063,98.194
BernoulliNB-MultinomialNB-Nearest Neighbors-Gradient Boosting,4,dna,0.0480343447487234,77.45160000000001
BernoulliNB-MultinomialNB-Nearest Neighbors-Random Forest (10 estimators),4,dna,0.05430985193509591,76.3614
BernoulliNB-MultinomialNB-Nearest Neighbors-Random Forest (10 estimators)-Gradient Boosting,5,dna,0.04458212574673212,71.46610000000001
BernoulliNB-MultinomialNB-Random Forest (10 estimators),3,dna,0.0577620709370872,16.3106
BernoulliNB-MultinomialNB-Random Forest (10 estimators)-Gradient Boosting,4,dna,0.04583604424202992,22.176099999999998
BernoulliNB-Nearest Neighbors,2,dna,0.18141598154610514,62.7968
BernoulliNB-Nearest Neighbors-Extra Trees,3,dna,0.05054711066422192,84.5298
BernoulliNB-Nearest Neighbors-Extra Trees-Gradient Boosting,4,dna,0.04458113996175154,93.28790000000001
BernoulliNB-Nearest Neighbors-Extra Trees-Random Forest (10 estimators),4,dna,0.05054415330928018,93.1105
BernoulliNB-Nearest Neighbors-Extra Trees-Random Forest (10 estimators)-Gradient Boosting,5,dna,0.039561522840638,94.80539999999999
BernoulliNB-Nearest Neighbors-Gradient Boosting,3,dna,0.04771790776995721,66.73819999999999
BernoulliNB-Nearest Neighbors-Random Forest (10 estimators),3,dna,0.05932946905620946,67.0971
BernoulliNB-Nearest Neighbors-Random Forest (10 estimators)-Gradient Boosting,4,dna,0.048030401608801086,78.5748
BernoulliNB-Random Forest (10 estimators),2,dna,0.06215078567062952,15.8004
BernoulliNB-Random Forest (10 estimators)-Gradient Boosting,3,dna,0.03767374460282723,21.0266
Decision Tree,1,dna,0.09416612448492734,11.900899999999998
Decision Tree-BernoulliNB,2,dna,0.08036612054178742,14.901500000000002
Decision Tree-BernoulliNB-Extra Trees,3,dna,0.04426766033792709,32.7093
Decision Tree-BernoulliNB-Extra Trees-Gradient Boosting,4,dna,0.03767473038780781,40.4058
Decision Tree-BernoulliNB-Extra Trees-Random Forest (10 estimators),4,dna,0.046772539973580954,40.099599999999995
Decision Tree-BernoulliNB-Extra Trees-Random Forest (10 estimators)-Gradient Boosting,5,dna,0.037987224226651684,42.2975
Decision Tree-BernoulliNB-Gradient Boosting,3,dna,0.040182567378403415,17.3551
Decision Tree-BernoulliNB-MultinomialNB,3,dna,0.0577620709370872,12.7939
Decision Tree-BernoulliNB-MultinomialNB-Extra Trees,4,dna,0.0467804262534256,35.60339999999999
Decision Tree-BernoulliNB-MultinomialNB-Extra Trees-Gradient Boosting,5,dna,0.038926677313144455,41.5087
Decision Tree-BernoulliNB-MultinomialNB-Extra Trees-Random Forest (10 estimators),5,dna,0.04143944322864297,42.6506
Decision Tree-BernoulliNB-MultinomialNB-Gradient Boosting,4,dna,0.046150509650834955,17.888600000000004
Decision Tree-BernoulliNB-MultinomialNB-Nearest Neighbors,4,dna,0.05619270124800378,65.7561
Decision Tree-BernoulliNB-MultinomialNB-Nearest Neighbors-Extra Trees,5,dna,0.04646596084462056,85.51610000000001
Decision Tree-BernoulliNB-MultinomialNB-Nearest Neighbors-Gradient Boosting,5,dna,0.04583604424202993,67.17219999999999
Decision Tree-BernoulliNB-MultinomialNB-Nearest Neighbors-Random Forest (10 estimators),5,dna,0.04928826324402121,66.9046
Decision Tree-BernoulliNB-MultinomialNB-Random Forest (10 estimators),4,dna,0.05211056564342185,17.3108
Decision Tree-BernoulliNB-MultinomialNB-Random Forest (10 estimators)-Gradient Boosting,5,dna,0.039554622345773935,22.504399999999997
Decision Tree-BernoulliNB-Nearest Neighbors,3,dna,0.06528952504879634,61.50809999999999
Decision Tree-BernoulliNB-Nearest Neighbors-Extra Trees,4,dna,0.053051990299875784,86.5073
Decision Tree-BernoulliNB-Nearest Neighbors-Extra Trees-Gradient Boosting,5,dna,0.03829873228051497,93.1911
Decision Tree-BernoulliNB-Nearest Neighbors-Extra Trees-Random Forest (10 estimators),5,dna,0.044260759843063026,94.9681
Decision Tree-BernoulliNB-Nearest Neighbors-Gradient Boosting,4,dna,0.05148360639577295,70.03519999999999
Decision Tree-BernoulliNB-Nearest Neighbors-Random Forest (10 estimators),4,dna,0.05869955245361881,70.3586
Decision Tree-BernoulliNB-Nearest Neighbors-Random Forest (10 estimators)-Gradient Boosting,5,dna,0.0408105124110329,72.7989
Decision Tree-BernoulliNB-Random Forest (10 estimators),3,dna,0.049593856588001015,15.8101
Decision Tree-BernoulliNB-Random Forest (10 estimators)-Gradient Boosting,4,dna,0.04269336172394077,20.895699999999998
Decision Tree-Extra Tree,2,dna,0.14094457916839181,11.4992
Decision Tree-Extra Tree-BernoulliNB,3,dna,0.06341160466079139,13.118200000000002
Decision Tree-Extra Tree-BernoulliNB-Extra Trees,4,dna,0.05054711066422192,34.874700000000004
Decision Tree-Extra Tree-BernoulliNB-Extra Trees-Gradient Boosting,5,dna,0.042383825240038635,42.773700000000005
Decision Tree-Extra Tree-BernoulliNB-Extra Trees-Random Forest (10 estimators),5,dna,0.044583111531712696,39.0574
Decision Tree-Extra Tree-BernoulliNB-Gradient Boosting,4,dna,0.04771889355493779,17.089699999999997
Decision Tree-Extra Tree-BernoulliNB-MultinomialNB,4,dna,0.053998343881232626,11.001100000000001
Decision Tree-Extra Tree-BernoulliNB-MultinomialNB-Extra Trees,5,dna,0.04834979594250901,38.81249999999999
Decision Tree-Extra Tree-BernoulliNB-MultinomialNB-Gradient Boosting,5,dna,0.043634786380394704,20.212600000000002
Decision Tree-Extra Tree-BernoulliNB-MultinomialNB-Nearest Neighbors,5,dna,0.05305297608485636,68.57750000000001
Decision Tree-Extra Tree-BernoulliNB-MultinomialNB-Random Forest (10 estimators),5,dna,0.048343881232625535,19.696000000000005
Decision Tree-Extra Tree-BernoulliNB-Nearest Neighbors,4,dna,0.0681167563730999,60.25699999999999
Decision Tree-Extra Tree-BernoulliNB-Nearest Neighbors-Extra Trees,5,dna,0.05054415330928018,89.32349999999998
Decision Tree-Extra Tree-BernoulliNB-Nearest Neighbors-Gradient Boosting,5,dna,0.04677155418860038,74.28330000000001
Decision Tree-Extra Tree-BernoulliNB-Nearest Neighbors-Random Forest (10 estimators),5,dna,0.052107608288480115,74.0025
Decision Tree-Extra Tree-BernoulliNB-Random Forest (10 estimators),4,dna,0.054618402634017474,16.625799999999998
Decision Tree-Extra Tree-BernoulliNB-Random Forest (10 estimators)-Gradient Boosting,5,dna,0.04269434750892135,24.124
Decision Tree-Extra Tree-Extra Trees,3,dna,0.05901894678732674,31.8901
Decision Tree-Extra Tree-Extra Trees-Gradient Boosting,4,dna,0.045839987381952246,42.0515
Decision Tree-Extra Tree-Extra Trees-Random Forest (10 estimators),4,dna,0.05399735809625204,40.0663
Decision Tree-Extra Tree-Extra Trees-Random Forest (10 estimators)-Gradient Boosting,5,dna,0.043954180714102634,42.4951
Decision Tree-Extra Tree-Gradient Boosting,3,dna,0.05744957709824333,15.609100000000002
Decision Tree-Extra Tree-Linear Discriminant,3,dna,0.06403856390844029,16.2264
Decision Tree-Extra Tree-Linear Discriminant-BernoulliNB,4,dna,0.05148459218075353,14.1
Decision Tree-Extra Tree-Linear Discriminant-BernoulliNB-Extra Trees,5,dna,0.04426470298298535,35.5061
Decision Tree-Extra Tree-Linear Discriminant-BernoulliNB-Gradient Boosting,5,dna,0.041753908637447996,18.483800000000002
Decision Tree-Extra Tree-Linear Discriminant-BernoulliNB-MultinomialNB,5,dna,0.04615050965083496,15.452100000000002
Decision Tree-Extra Tree-Linear Discriminant-BernoulliNB-Nearest Neighbors,5,dna,0.05053922438437728,62.37109999999999
Decision Tree-Extra Tree-Linear Discriminant-BernoulliNB-Random Forest (10 estimators),5,dna,0.044262731413024184,15.617700000000003
Decision Tree-Extra Tree-Linear Discriminant-Extra Trees,4,dna,0.04897576940517734,32.399699999999996
Decision Tree-Extra Tree-Linear Discriminant-Extra Trees-Gradient Boosting,5,dna,0.041752922852467414,42.2605
