ensembleDescription,k,dataset,errorRate,timeTaken
BernoulliNB,1,helena,0.8328000000000001,93.375125
BernoulliNB-Extra Trees,2,helena,0.7626999999999999,433.12037499999997
BernoulliNB-Extra Trees-Gradient Boosting,3,helena,0.7063999999999999,787.88625
BernoulliNB-Extra Trees-Random Forest (10 estimators),3,helena,0.7149,473.822625
BernoulliNB-Extra Trees-Random Forest (10 estimators)-Gradient Boosting,4,helena,0.6882999999999999,829.0118749999999
BernoulliNB-Gradient Boosting,2,helena,0.7874499999999999,466.11262500000004
BernoulliNB-Nearest Neighbors,2,helena,0.83825,1425.485125
BernoulliNB-Nearest Neighbors-Extra Trees,3,helena,0.7677499999999999,1821.8688750000001
BernoulliNB-Nearest Neighbors-Extra Trees-Gradient Boosting,4,helena,0.7147,2097.513625
BernoulliNB-Nearest Neighbors-Extra Trees-Random Forest (10 estimators),4,helena,0.72315,1726.374375
BernoulliNB-Nearest Neighbors-Extra Trees-Random Forest (10 estimators)-Gradient Boosting,5,helena,0.69235,2014.39125
BernoulliNB-Nearest Neighbors-Gradient Boosting,3,helena,0.78115,1891.742625
BernoulliNB-Nearest Neighbors-Random Forest (10 estimators),3,helena,0.7854,1543.49025
BernoulliNB-Nearest Neighbors-Random Forest (10 estimators)-Gradient Boosting,4,helena,0.7384499999999999,1807.53625
BernoulliNB-Random Forest (10 estimators),2,helena,0.7901,133.58112500000001
BernoulliNB-Random Forest (10 estimators)-Gradient Boosting,3,helena,0.7356499999999999,501.36687500000005
Decision Tree,1,helena,0.7984,100.26849999999999
Decision Tree-BernoulliNB,2,helena,0.8209000000000001,96.0135
Decision Tree-BernoulliNB-Extra Trees,3,helena,0.73835,455.73199999999997
Decision Tree-BernoulliNB-Extra Trees-Gradient Boosting,4,helena,0.6976500000000001,804.3456249999999
Decision Tree-BernoulliNB-Extra Trees-Random Forest (10 estimators),4,helena,0.7082499999999999,456.130875
Decision Tree-BernoulliNB-Extra Trees-Random Forest (10 estimators)-Gradient Boosting,5,helena,0.6855999999999999,756.962125
Decision Tree-BernoulliNB-Gradient Boosting,3,helena,0.75885,500.267875
Decision Tree-BernoulliNB-Nearest Neighbors,3,helena,0.8072999999999999,1437.7868750000002
Decision Tree-BernoulliNB-Nearest Neighbors-Extra Trees,4,helena,0.7418000000000001,1753.8683750000002
Decision Tree-BernoulliNB-Nearest Neighbors-Extra Trees-Gradient Boosting,5,helena,0.7041,2026.8815
Decision Tree-BernoulliNB-Nearest Neighbors-Extra Trees-Random Forest (10 estimators),5,helena,0.7115,1656.517875
Decision Tree-BernoulliNB-Nearest Neighbors-Gradient Boosting,4,helena,0.7555000000000001,1873.18925
Decision Tree-BernoulliNB-Nearest Neighbors-Random Forest (10 estimators),4,helena,0.7637,1516.2485000000001
Decision Tree-BernoulliNB-Nearest Neighbors-Random Forest (10 estimators)-Gradient Boosting,5,helena,0.7243,1764.092375
Decision Tree-BernoulliNB-Random Forest (10 estimators),3,helena,0.7641500000000001,143.5845
Decision Tree-BernoulliNB-Random Forest (10 estimators)-Gradient Boosting,4,helena,0.7221000000000001,531.4866249999999
Decision Tree-Extra Tree,2,helena,0.81915,69.58937499999999
Decision Tree-Extra Tree-BernoulliNB,3,helena,0.80345,104.008875
Decision Tree-Extra Tree-BernoulliNB-Extra Trees,4,helena,0.7305,427.909125
Decision Tree-Extra Tree-BernoulliNB-Extra Trees-Gradient Boosting,5,helena,0.6943499999999999,740.27775
Decision Tree-Extra Tree-BernoulliNB-Extra Trees-Random Forest (10 estimators),5,helena,0.7044,423.69237499999997
Decision Tree-Extra Tree-BernoulliNB-Gradient Boosting,4,helena,0.7464,479.216
Decision Tree-Extra Tree-BernoulliNB-Nearest Neighbors,4,helena,0.7894,1412.0007500000002
Decision Tree-Extra Tree-BernoulliNB-Nearest Neighbors-Extra Trees,5,helena,0.73,1684.157125
Decision Tree-Extra Tree-BernoulliNB-Nearest Neighbors-Gradient Boosting,5,helena,0.74425,1744.392875
Decision Tree-Extra Tree-BernoulliNB-Nearest Neighbors-Random Forest (10 estimators),5,helena,0.7501,1390.4162499999998
Decision Tree-Extra Tree-BernoulliNB-Random Forest (10 estimators),4,helena,0.7516499999999999,137.124625
Decision Tree-Extra Tree-BernoulliNB-Random Forest (10 estimators)-Gradient Boosting,5,helena,0.71555,485.534625
Decision Tree-Extra Tree-Extra Trees,3,helena,0.73725,430.891
Decision Tree-Extra Tree-Extra Trees-Gradient Boosting,4,helena,0.6971999999999999,737.33275
Decision Tree-Extra Tree-Extra Trees-Random Forest (10 estimators),4,helena,0.70865,423.56325000000004
Decision Tree-Extra Tree-Extra Trees-Random Forest (10 estimators)-Gradient Boosting,5,helena,0.6833,762.56125
Decision Tree-Extra Tree-Gradient Boosting,3,helena,0.75815,463.7145
Decision Tree-Extra Tree-Linear Discriminant,3,helena,0.7514,100.819625
Decision Tree-Extra Tree-Linear Discriminant-BernoulliNB,4,helena,0.7440500000000001,97.12525
Decision Tree-Extra Tree-Linear Discriminant-BernoulliNB-Extra Trees,5,helena,0.69225,408.154125
Decision Tree-Extra Tree-Linear Discriminant-BernoulliNB-Gradient Boosting,5,helena,0.70555,463.019
Decision Tree-Extra Tree-Linear Discriminant-BernoulliNB-Nearest Neighbors,5,helena,0.74265,1380.2073750000002
Decision Tree-Extra Tree-Linear Discriminant-BernoulliNB-Random Forest (10 estimators),5,helena,0.71475,128.146875
Decision Tree-Extra Tree-Linear Discriminant-Extra Trees,4,helena,0.69445,396.020625
Decision Tree-Extra Tree-Linear Discriminant-Extra Trees-Gradient Boosting,5,helena,0.6761,749.4635000000001
Decision Tree-Extra Tree-Linear Discriminant-Extra Trees-Random Forest (10 estimators),5,helena,0.6821,422.73525
Decision Tree-Extra Tree-Linear Discriminant-Gradient Boosting,4,helena,0.7101999999999998,461.17212499999994
Decision Tree-Extra Tree-Linear Discriminant-Nearest Neighbors,4,helena,0.75225,1384.0483749999999
Decision Tree-Extra Tree-Linear Discriminant-Nearest Neighbors-Extra Trees,5,helena,0.6971499999999999,1687.631125
Decision Tree-Extra Tree-Linear Discriminant-Nearest Neighbors-Gradient Boosting,5,helena,0.7101000000000001,1760.198875
Decision Tree-Extra Tree-Linear Discriminant-Nearest Neighbors-Random Forest (10 estimators),5,helena,0.71975,1427.279125
Decision Tree-Extra Tree-Linear Discriminant-Quadratic Discriminant,4,helena,0.7140500000000001,141.819375
Decision Tree-Extra Tree-Linear Discriminant-Quadratic Discriminant-BernoulliNB,5,helena,0.7110000000000001,147.532375
Decision Tree-Extra Tree-Linear Discriminant-Quadratic Discriminant-Extra Trees,5,helena,0.68045,441.53312500000004
Decision Tree-Extra Tree-Linear Discriminant-Quadratic Discriminant-Gradient Boosting,5,helena,0.6882999999999999,499.85862499999996
Decision Tree-Extra Tree-Linear Discriminant-Quadratic Discriminant-Nearest Neighbors,5,helena,0.7151,1422.320375
Decision Tree-Extra Tree-Linear Discriminant-Quadratic Discriminant-Random Forest (10 estimators),5,helena,0.6956499999999999,171.365
Decision Tree-Extra Tree-Linear Discriminant-Random Forest (10 estimators),4,helena,0.7196500000000001,128.82
Decision Tree-Extra Tree-Linear Discriminant-Random Forest (10 estimators)-Gradient Boosting,5,helena,0.6936500000000001,491.19325
Decision Tree-Extra Tree-Logistic,3,helena,0.777,103.057625
Decision Tree-Extra Tree-Logistic-BernoulliNB,4,helena,0.7705,111.242875
Decision Tree-Extra Tree-Logistic-BernoulliNB-Extra Trees,5,helena,0.7168,407.83662499999997
Decision Tree-Extra Tree-Logistic-BernoulliNB-Gradient Boosting,5,helena,0.7303499999999999,464.485625
Decision Tree-Extra Tree-Logistic-BernoulliNB-Nearest Neighbors,5,helena,0.76495,1387.305625
Decision Tree-Extra Tree-Logistic-BernoulliNB-Random Forest (10 estimators),5,helena,0.7376,135.537125
Decision Tree-Extra Tree-Logistic-Extra Trees,4,helena,0.7136500000000001,433.29637499999995
Decision Tree-Extra Tree-Logistic-Extra Trees-Gradient Boosting,5,helena,0.68795,739.456625
Decision Tree-Extra Tree-Logistic-Extra Trees-Random Forest (10 estimators),5,helena,0.69535,430.77487500000007
Decision Tree-Extra Tree-Logistic-Gradient Boosting,4,helena,0.73105,480.11712500000004
Decision Tree-Extra Tree-Logistic-Linear Discriminant,4,helena,0.72735,106.63074999999999
Decision Tree-Extra Tree-Logistic-Linear Discriminant-BernoulliNB,5,helena,0.7299500000000001,103.62324999999998
Decision Tree-Extra Tree-Logistic-Linear Discriminant-Extra Trees,5,helena,0.6883999999999999,411.160375
Decision Tree-Extra Tree-Logistic-Linear Discriminant-Gradient Boosting,5,helena,0.6984999999999999,474.35175000000004
Decision Tree-Extra Tree-Logistic-Linear Discriminant-Nearest Neighbors,5,helena,0.7301500000000001,1374.976
Decision Tree-Extra Tree-Logistic-Linear Discriminant-Quadratic Discriminant,5,helena,0.70055,147.72912499999998
Decision Tree-Extra Tree-Logistic-Linear Discriminant-Random Forest (10 estimators),5,helena,0.71,139.00187499999998
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron,4,helena,0.7181500000000001,111.999875
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-BernoulliNB,5,helena,0.72275,111.87537499999999
