ensembleDescription,k,dataset,errorRate,timeTaken
BernoulliNB,1,jannis,0.48188000000000003,83.8228
BernoulliNB-Extra Trees,2,jannis,0.39268000000000003,207.8826
BernoulliNB-Extra Trees-Gradient Boosting,3,jannis,0.31928,206.29789999999997
BernoulliNB-Extra Trees-Random Forest (10 estimators),3,jannis,0.33544,203.5065
BernoulliNB-Extra Trees-Random Forest (10 estimators)-Gradient Boosting,4,jannis,0.32228,209.15240000000003
BernoulliNB-Gradient Boosting,2,jannis,0.38528000000000007,125.0427
BernoulliNB-Nearest Neighbors,2,jannis,0.499,1507.0499999999997
BernoulliNB-Nearest Neighbors-Extra Trees,3,jannis,0.38243999999999995,1510.5607
BernoulliNB-Nearest Neighbors-Extra Trees-Gradient Boosting,4,jannis,0.34743999999999997,1569.3336
BernoulliNB-Nearest Neighbors-Extra Trees-Random Forest (10 estimators),4,jannis,0.36255999999999994,1512.5639999999999
BernoulliNB-Nearest Neighbors-Extra Trees-Random Forest (10 estimators)-Gradient Boosting,5,jannis,0.3259599999999999,1565.2536
BernoulliNB-Nearest Neighbors-Gradient Boosting,3,jannis,0.37839999999999996,1427.1032
BernoulliNB-Nearest Neighbors-Random Forest (10 estimators),3,jannis,0.39652,1402.0091000000002
BernoulliNB-Nearest Neighbors-Random Forest (10 estimators)-Gradient Boosting,4,jannis,0.3606,1399.6373
BernoulliNB-Random Forest (10 estimators),2,jannis,0.40976,108.9117
BernoulliNB-Random Forest (10 estimators)-Gradient Boosting,3,jannis,0.33436,118.93349999999998
Decision Tree,1,jannis,0.42643999999999993,82.49749999999999
Decision Tree-BernoulliNB,2,jannis,0.4618399999999999,91.33890000000001
Decision Tree-BernoulliNB-Extra Trees,3,jannis,0.35704,194.60520000000002
Decision Tree-BernoulliNB-Extra Trees-Gradient Boosting,4,jannis,0.32832,213.3055
Decision Tree-BernoulliNB-Extra Trees-Random Forest (10 estimators),4,jannis,0.34344,191.96869999999998
Decision Tree-BernoulliNB-Extra Trees-Random Forest (10 estimators)-Gradient Boosting,5,jannis,0.32024,206.0347
Decision Tree-BernoulliNB-Gradient Boosting,3,jannis,0.35524000000000006,110.38829999999999
