ensembleDescription,k,dataset,errorRate,timeTaken
BernoulliNB,1,madelon,0.5323076923076923,12.293299999999999
BernoulliNB-Extra Trees,2,madelon,0.42153846153846153,31.3003
BernoulliNB-Extra Trees-Gradient Boosting,3,madelon,0.3226923076923077,35.500600000000006
BernoulliNB-Extra Trees-Random Forest (10 estimators),3,madelon,0.37576923076923074,34.999199999999995
BernoulliNB-Extra Trees-Random Forest (10 estimators)-Gradient Boosting,4,madelon,0.33961538461538454,35.398
BernoulliNB-Gradient Boosting,2,madelon,0.36769230769230765,10.8967
BernoulliNB-MultinomialNB,2,madelon,0.4576923076923077,12.1008
BernoulliNB-MultinomialNB-Extra Trees,3,madelon,0.3907692307692307,33.499399999999994
BernoulliNB-MultinomialNB-Extra Trees-Gradient Boosting,4,madelon,0.3496153846153846,32.100100000000005
BernoulliNB-MultinomialNB-Extra Trees-Random Forest (10 estimators),4,madelon,0.3861538461538462,33.0
BernoulliNB-MultinomialNB-Extra Trees-Random Forest (10 estimators)-Gradient Boosting,5,madelon,0.3415384615384615,34.999100000000006
BernoulliNB-MultinomialNB-Gradient Boosting,3,madelon,0.34538461538461546,11.800099999999999
BernoulliNB-MultinomialNB-Nearest Neighbors,3,madelon,0.3534615384615385,44.2002
BernoulliNB-MultinomialNB-Nearest Neighbors-Extra Trees,4,madelon,0.3557692307692307,66.1015
BernoulliNB-MultinomialNB-Nearest Neighbors-Extra Trees-Gradient Boosting,5,madelon,0.3115384615384615,70.2012
BernoulliNB-MultinomialNB-Nearest Neighbors-Extra Trees-Random Forest (10 estimators),5,madelon,0.3384615384615384,69.2951
BernoulliNB-MultinomialNB-Nearest Neighbors-Gradient Boosting,4,madelon,0.3088461538461538,44.5001
BernoulliNB-MultinomialNB-Nearest Neighbors-Random Forest (10 estimators),4,madelon,0.3588461538461538,48.0988
BernoulliNB-MultinomialNB-Nearest Neighbors-Random Forest (10 estimators)-Gradient Boosting,5,madelon,0.30653846153846154,50.5991
BernoulliNB-MultinomialNB-Random Forest (10 estimators),3,madelon,0.39807692307692305,13.000200000000001
BernoulliNB-MultinomialNB-Random Forest (10 estimators)-Gradient Boosting,4,madelon,0.35615384615384615,14.0996
BernoulliNB-Nearest Neighbors,2,madelon,0.39038461538461533,48.099999999999994
BernoulliNB-Nearest Neighbors-Extra Trees,3,madelon,0.32846153846153847,68.9029
BernoulliNB-Nearest Neighbors-Extra Trees-Gradient Boosting,4,madelon,0.29923076923076924,65.09709999999998
BernoulliNB-Nearest Neighbors-Extra Trees-Random Forest (10 estimators),4,madelon,0.3434615384615384,65.70320000000001
BernoulliNB-Nearest Neighbors-Extra Trees-Random Forest (10 estimators)-Gradient Boosting,5,madelon,0.2892307692307692,67.697
BernoulliNB-Nearest Neighbors-Gradient Boosting,3,madelon,0.27115384615384613,48.600300000000004
BernoulliNB-Nearest Neighbors-Random Forest (10 estimators),3,madelon,0.34076923076923077,50.698899999999995
BernoulliNB-Nearest Neighbors-Random Forest (10 estimators)-Gradient Boosting,4,madelon,0.30999999999999994,49.0022
BernoulliNB-Random Forest (10 estimators),2,madelon,0.4373076923076923,13.403500000000003
BernoulliNB-Random Forest (10 estimators)-Gradient Boosting,3,madelon,0.3326923076923077,15.500499999999997
Decision Tree,1,madelon,0.23346153846153853,9.596499999999999
Decision Tree-BernoulliNB,2,madelon,0.3476923076923077,12.200600000000001
Decision Tree-BernoulliNB-Extra Trees,3,madelon,0.3026923076923077,33.299099999999996
Decision Tree-BernoulliNB-Extra Trees-Gradient Boosting,4,madelon,0.2761538461538462,34.6985
Decision Tree-BernoulliNB-Extra Trees-Random Forest (10 estimators),4,madelon,0.3203846153846154,33.9013
Decision Tree-BernoulliNB-Extra Trees-Random Forest (10 estimators)-Gradient Boosting,5,madelon,0.2711538461538462,33.4981
Decision Tree-BernoulliNB-Gradient Boosting,3,madelon,0.25384615384615383,13.2013
Decision Tree-BernoulliNB-MultinomialNB,3,madelon,0.3284615384615384,11.801099999999998
Decision Tree-BernoulliNB-MultinomialNB-Extra Trees,4,madelon,0.3342307692307692,33.6012
Decision Tree-BernoulliNB-MultinomialNB-Extra Trees-Gradient Boosting,5,madelon,0.2934615384615385,32.0976
Decision Tree-BernoulliNB-MultinomialNB-Extra Trees-Random Forest (10 estimators),5,madelon,0.31923076923076915,35.501999999999995
Decision Tree-BernoulliNB-MultinomialNB-Gradient Boosting,4,madelon,0.28923076923076924,12.799999999999999
Decision Tree-BernoulliNB-MultinomialNB-Nearest Neighbors,4,madelon,0.2976923076923076,46.898799999999994
Decision Tree-BernoulliNB-MultinomialNB-Nearest Neighbors-Extra Trees,5,madelon,0.29923076923076924,69.8985
Decision Tree-BernoulliNB-MultinomialNB-Nearest Neighbors-Gradient Boosting,5,madelon,0.2569230769230769,44.0001
Decision Tree-BernoulliNB-MultinomialNB-Nearest Neighbors-Random Forest (10 estimators),5,madelon,0.2861538461538461,46.595400000000005
Decision Tree-BernoulliNB-MultinomialNB-Random Forest (10 estimators),4,madelon,0.33999999999999997,12.1995
Decision Tree-BernoulliNB-MultinomialNB-Random Forest (10 estimators)-Gradient Boosting,5,madelon,0.29115384615384615,15.6013
Decision Tree-BernoulliNB-Nearest Neighbors,3,madelon,0.2619230769230769,47.899699999999996
Decision Tree-BernoulliNB-Nearest Neighbors-Extra Trees,4,madelon,0.28307692307692306,71.19969999999999
Decision Tree-BernoulliNB-Nearest Neighbors-Extra Trees-Gradient Boosting,5,madelon,0.24038461538461536,64.5971
Decision Tree-BernoulliNB-Nearest Neighbors-Extra Trees-Random Forest (10 estimators),5,madelon,0.27076923076923076,66.302
Decision Tree-BernoulliNB-Nearest Neighbors-Gradient Boosting,4,madelon,0.24692307692307694,48.6997
Decision Tree-BernoulliNB-Nearest Neighbors-Random Forest (10 estimators),4,madelon,0.29307692307692307,46.0
Decision Tree-BernoulliNB-Nearest Neighbors-Random Forest (10 estimators)-Gradient Boosting,5,madelon,0.24230769230769228,46.401300000000006
Decision Tree-BernoulliNB-Random Forest (10 estimators),3,madelon,0.31,13.9
Decision Tree-BernoulliNB-Random Forest (10 estimators)-Gradient Boosting,4,madelon,0.28961538461538466,15.601399999999998
Decision Tree-Extra Tree,2,madelon,0.34923076923076923,11.4008
Decision Tree-Extra Tree-BernoulliNB,3,madelon,0.37423076923076926,11.700700000000001
Decision Tree-Extra Tree-BernoulliNB-Extra Trees,4,madelon,0.33730769230769225,30.901
Decision Tree-Extra Tree-BernoulliNB-Extra Trees-Gradient Boosting,5,madelon,0.27769230769230774,33.49979999999999
Decision Tree-Extra Tree-BernoulliNB-Extra Trees-Random Forest (10 estimators),5,madelon,0.3203846153846153,33.199200000000005
Decision Tree-Extra Tree-BernoulliNB-Gradient Boosting,4,madelon,0.30192307692307696,12.6004
Decision Tree-Extra Tree-BernoulliNB-MultinomialNB,4,madelon,0.3611538461538461,11.8025
Decision Tree-Extra Tree-BernoulliNB-MultinomialNB-Extra Trees,5,madelon,0.33307692307692305,31.1952
Decision Tree-Extra Tree-BernoulliNB-MultinomialNB-Gradient Boosting,5,madelon,0.29115384615384615,11.2999
Decision Tree-Extra Tree-BernoulliNB-MultinomialNB-Nearest Neighbors,5,madelon,0.3046153846153846,45.60510000000001
Decision Tree-Extra Tree-BernoulliNB-MultinomialNB-Random Forest (10 estimators),5,madelon,0.335,12.099599999999999
Decision Tree-Extra Tree-BernoulliNB-Nearest Neighbors,4,madelon,0.3119230769230769,44.1964
Decision Tree-Extra Tree-BernoulliNB-Nearest Neighbors-Extra Trees,5,madelon,0.28346153846153843,67.0021
Decision Tree-Extra Tree-BernoulliNB-Nearest Neighbors-Gradient Boosting,5,madelon,0.24653846153846154,46.7005
Decision Tree-Extra Tree-BernoulliNB-Nearest Neighbors-Random Forest (10 estimators),5,madelon,0.28538461538461535,48.698699999999995
Decision Tree-Extra Tree-BernoulliNB-Random Forest (10 estimators),4,madelon,0.3515384615384615,14.699100000000001
Decision Tree-Extra Tree-BernoulliNB-Random Forest (10 estimators)-Gradient Boosting,5,madelon,0.2784615384615384,15.3
Decision Tree-Extra Tree-Extra Trees,3,madelon,0.29538461538461536,29.6998
Decision Tree-Extra Tree-Extra Trees-Gradient Boosting,4,madelon,0.26730769230769236,33.3009
Decision Tree-Extra Tree-Extra Trees-Random Forest (10 estimators),4,madelon,0.3207692307692308,37.398199999999996
Decision Tree-Extra Tree-Extra Trees-Random Forest (10 estimators)-Gradient Boosting,5,madelon,0.2611538461538462,34.2998
Decision Tree-Extra Tree-Gradient Boosting,3,madelon,0.24653846153846154,10.699499999999999
Decision Tree-Extra Tree-Linear Discriminant,3,madelon,0.32769230769230767,11.400899999999998
Decision Tree-Extra Tree-Linear Discriminant-BernoulliNB,4,madelon,0.36269230769230765,12.100399999999999
Decision Tree-Extra Tree-Linear Discriminant-BernoulliNB-Extra Trees,5,madelon,0.3376923076923076,34.3982
Decision Tree-Extra Tree-Linear Discriminant-BernoulliNB-Gradient Boosting,5,madelon,0.2915384615384616,13.599699999999999
Decision Tree-Extra Tree-Linear Discriminant-BernoulliNB-MultinomialNB,5,madelon,0.3596153846153846,11.700399999999998
Decision Tree-Extra Tree-Linear Discriminant-BernoulliNB-Nearest Neighbors,5,madelon,0.30576923076923074,47.50189999999999
Decision Tree-Extra Tree-Linear Discriminant-BernoulliNB-Random Forest (10 estimators),5,madelon,0.34269230769230774,14.200099999999997
Decision Tree-Extra Tree-Linear Discriminant-Extra Trees,4,madelon,0.3303846153846154,30.5011
Decision Tree-Extra Tree-Linear Discriminant-Extra Trees-Gradient Boosting,5,madelon,0.28,30.9997
Decision Tree-Extra Tree-Linear Discriminant-Extra Trees-Random Forest (10 estimators),5,madelon,0.3073076923076923,35.7002
Decision Tree-Extra Tree-Linear Discriminant-Gradient Boosting,4,madelon,0.2907692307692308,11.700099999999997
Decision Tree-Extra Tree-Linear Discriminant-MultinomialNB,4,madelon,0.34615384615384615,10.5012
Decision Tree-Extra Tree-Linear Discriminant-MultinomialNB-Extra Trees,5,madelon,0.33076923076923076,31.799799999999998
Decision Tree-Extra Tree-Linear Discriminant-MultinomialNB-Gradient Boosting,5,madelon,0.2961538461538461,11.399000000000001
Decision Tree-Extra Tree-Linear Discriminant-MultinomialNB-Nearest Neighbors,5,madelon,0.30346153846153845,44.699099999999994
Decision Tree-Extra Tree-Linear Discriminant-MultinomialNB-Random Forest (10 estimators),5,madelon,0.3269230769230769,13.7013
Decision Tree-Extra Tree-Linear Discriminant-Nearest Neighbors,4,madelon,0.29153846153846147,46.2983
Decision Tree-Extra Tree-Linear Discriminant-Nearest Neighbors-Extra Trees,5,madelon,0.2819230769230769,65.60069999999999
Decision Tree-Extra Tree-Linear Discriminant-Nearest Neighbors-Gradient Boosting,5,madelon,0.24846153846153846,49.399100000000004
Decision Tree-Extra Tree-Linear Discriminant-Nearest Neighbors-Random Forest (10 estimators),5,madelon,0.2753846153846154,46.7007
Decision Tree-Extra Tree-Linear Discriminant-Quadratic Discriminant,4,madelon,0.36153846153846153,17.799599999999998
Decision Tree-Extra Tree-Linear Discriminant-Quadratic Discriminant-BernoulliNB,5,madelon,0.3773076923076923,19.0032
Decision Tree-Extra Tree-Linear Discriminant-Quadratic Discriminant-Extra Trees,5,madelon,0.3273076923076923,37.1999
Decision Tree-Extra Tree-Linear Discriminant-Quadratic Discriminant-Gradient Boosting,5,madelon,0.288076923076923,20.3003
Decision Tree-Extra Tree-Linear Discriminant-Quadratic Discriminant-MultinomialNB,5,madelon,0.34923076923076923,19.100299999999997
Decision Tree-Extra Tree-Linear Discriminant-Quadratic Discriminant-Nearest Neighbors,5,madelon,0.293076923076923,49.996700000000004
Decision Tree-Extra Tree-Linear Discriminant-Quadratic Discriminant-Random Forest (10 estimators),5,madelon,0.33269230769230773,21.400200000000005
Decision Tree-Extra Tree-Linear Discriminant-Random Forest (10 estimators),4,madelon,0.34461538461538466,13.600799999999998
Decision Tree-Extra Tree-Linear Discriminant-Random Forest (10 estimators)-Gradient Boosting,5,madelon,0.2730769230769231,14.000500000000002
Decision Tree-Extra Tree-Logistic,3,madelon,0.32653846153846156,9.8996
Decision Tree-Extra Tree-Logistic-BernoulliNB,4,madelon,0.35615384615384615,10.9994
Decision Tree-Extra Tree-Logistic-BernoulliNB-Extra Trees,5,madelon,0.33230769230769225,32.8003
Decision Tree-Extra Tree-Logistic-BernoulliNB-Gradient Boosting,5,madelon,0.29346153846153844,13.699599999999998
Decision Tree-Extra Tree-Logistic-BernoulliNB-MultinomialNB,5,madelon,0.35846153846153844,13.0
Decision Tree-Extra Tree-Logistic-BernoulliNB-Nearest Neighbors,5,madelon,0.30769230769230765,45.6963
Decision Tree-Extra Tree-Logistic-BernoulliNB-Random Forest (10 estimators),5,madelon,0.33653846153846156,13.603399999999999
Decision Tree-Extra Tree-Logistic-Extra Trees,4,madelon,0.3326923076923077,31.299899999999997
Decision Tree-Extra Tree-Logistic-Extra Trees-Gradient Boosting,5,madelon,0.2819230769230769,33.301300000000005
Decision Tree-Extra Tree-Logistic-Extra Trees-Random Forest (10 estimators),5,madelon,0.31038461538461537,36.1005
Decision Tree-Extra Tree-Logistic-Gradient Boosting,4,madelon,0.288076923076923,12.2997
Decision Tree-Extra Tree-Logistic-Linear Discriminant,4,madelon,0.37384615384615383,10.4999
Decision Tree-Extra Tree-Logistic-Linear Discriminant-BernoulliNB,5,madelon,0.37653846153846154,10.4969
Decision Tree-Extra Tree-Logistic-Linear Discriminant-Extra Trees,5,madelon,0.35269230769230775,30.794600000000003
Decision Tree-Extra Tree-Logistic-Linear Discriminant-Gradient Boosting,5,madelon,0.31923076923076915,11.6024
Decision Tree-Extra Tree-Logistic-Linear Discriminant-MultinomialNB,5,madelon,0.37346153846153846,10.7989
Decision Tree-Extra Tree-Logistic-Linear Discriminant-Nearest Neighbors,5,madelon,0.32384615384615384,46.0058
Decision Tree-Extra Tree-Logistic-Linear Discriminant-Quadratic Discriminant,5,madelon,0.37230769230769234,16.5982
Decision Tree-Extra Tree-Logistic-Linear Discriminant-Random Forest (10 estimators),5,madelon,0.3534615384615385,14.002199999999998
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron,4,madelon,0.35538461538461535,10.8001
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-BernoulliNB,5,madelon,0.3788461538461538,11.6035
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-Extra Trees,5,madelon,0.32846153846153847,32.196099999999994
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-Gradient Boosting,5,madelon,0.29461538461538456,11.902
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-Linear Discriminant,5,madelon,0.38307692307692315,11.700500000000002
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-MultinomialNB,5,madelon,0.3580769230769231,11.096
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-Nearest Neighbors,5,madelon,0.3042307692307692,45.4042
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-Quadratic Discriminant,5,madelon,0.3676923076923077,17.700499999999998
Decision Tree-Extra Tree-Logistic-Multi-layer Perceptron-Random Forest (10 estimators),5,madelon,0.3253846153846154,13.203
Decision Tree-Extra Tree-Logistic-MultinomialNB,4,madelon,0.3511538461538462,10.8033
Decision Tree-Extra Tree-Logistic-MultinomialNB-Extra Trees,5,madelon,0.3369230769230769,34.7046
Decision Tree-Extra Tree-Logistic-MultinomialNB-Gradient Boosting,5,madelon,0.2969230769230769,11.0002
Decision Tree-Extra Tree-Logistic-MultinomialNB-Nearest Neighbors,5,madelon,0.30576923076923074,43.297999999999995
Decision Tree-Extra Tree-Logistic-MultinomialNB-Random Forest (10 estimators),5,madelon,0.32884615384615384,13.894499999999999
Decision Tree-Extra Tree-Logistic-Nearest Neighbors,4,madelon,0.29230769230769227,43.4971
Decision Tree-Extra Tree-Logistic-Nearest Neighbors-Extra Trees,5,madelon,0.2861538461538461,65.70270000000001
Decision Tree-Extra Tree-Logistic-Nearest Neighbors-Gradient Boosting,5,madelon,0.25,46.7994
Decision Tree-Extra Tree-Logistic-Nearest Neighbors-Random Forest (10 estimators),5,madelon,0.2776923076923077,47.3976
Decision Tree-Extra Tree-Logistic-Passive Aggressive,4,madelon,0.3415384615384615,10.3026
Decision Tree-Extra Tree-Logistic-Passive Aggressive-BernoulliNB,5,madelon,0.4042307692307692,11.200599999999998
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Extra Trees,5,madelon,0.32653846153846156,31.6993
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Gradient Boosting,5,madelon,0.288076923076923,12.500499999999999
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Linear Discriminant,5,madelon,0.37192307692307697,9.595
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Multi-layer Perceptron,5,madelon,0.37461538461538463,10.204600000000001
Decision Tree-Extra Tree-Logistic-Passive Aggressive-MultinomialNB,5,madelon,0.3503846153846154,10.3961
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Nearest Neighbors,5,madelon,0.2926923076923077,45.20269999999999
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Perceptron,5,madelon,0.36076923076923073,9.9963
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Quadratic Discriminant,5,madelon,0.3707692307692308,17.8007
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Random Forest (10 estimators),5,madelon,0.32384615384615384,13.098200000000002
Decision Tree-Extra Tree-Logistic-Passive Aggressive-Ridge,5,madelon,0.37192307692307697,9.502999999999998
Decision Tree-Extra Tree-Logistic-Passive Aggressive-SGD,5,madelon,0.3730769230769231,9.6005
Decision Tree-Extra Tree-Logistic-Perceptron,4,madelon,0.3630769230769231,10.597199999999997
Decision Tree-Extra Tree-Logistic-Perceptron-BernoulliNB,5,madelon,0.37538461538461537,10.4994
Decision Tree-Extra Tree-Logistic-Perceptron-Extra Trees,5,madelon,0.3315384615384615,29.902899999999995
Decision Tree-Extra Tree-Logistic-Perceptron-Gradient Boosting,5,madelon,0.2926923076923077,12.2031
Decision Tree-Extra Tree-Logistic-Perceptron-Linear Discriminant,5,madelon,0.37,10.3
Decision Tree-Extra Tree-Logistic-Perceptron-Multi-layer Perceptron,5,madelon,0.3334615384615384,10.1969
Decision Tree-Extra Tree-Logistic-Perceptron-MultinomialNB,5,madelon,0.35269230769230775,9.499799999999999
Decision Tree-Extra Tree-Logistic-Perceptron-Nearest Neighbors,5,madelon,0.29269230769230764,45.9986
Decision Tree-Extra Tree-Logistic-Perceptron-Quadratic Discriminant,5,madelon,0.3596153846153846,17.5031
Decision Tree-Extra Tree-Logistic-Perceptron-Random Forest (10 estimators),5,madelon,0.3350000000000001,13.096700000000002
Decision Tree-Extra Tree-Logistic-Perceptron-Ridge,5,madelon,0.37,10.4038
Decision Tree-Extra Tree-Logistic-Perceptron-SGD,5,madelon,0.3492307692307692,10.898299999999999
Decision Tree-Extra Tree-Logistic-Quadratic Discriminant,4,madelon,0.35307692307692307,17.3005
Decision Tree-Extra Tree-Logistic-Quadratic Discriminant-BernoulliNB,5,madelon,0.37923076923076926,17.998700000000003
Decision Tree-Extra Tree-Logistic-Quadratic Discriminant-Extra Trees,5,madelon,0.3323076923076923,40.5015
Decision Tree-Extra Tree-Logistic-Quadratic Discriminant-Gradient Boosting,5,madelon,0.288076923076923,22.2006
Decision Tree-Extra Tree-Logistic-Quadratic Discriminant-MultinomialNB,5,madelon,0.34884615384615386,19.497000000000003
Decision Tree-Extra Tree-Logistic-Quadratic Discriminant-Nearest Neighbors,5,madelon,0.295,51.7004
Decision Tree-Extra Tree-Logistic-Quadratic Discriminant-Random Forest (10 estimators),5,madelon,0.3242307692307692,20.300700000000003
Decision Tree-Extra Tree-Logistic-Random Forest (10 estimators),4,madelon,0.34153846153846157,13.3995
Decision Tree-Extra Tree-Logistic-Random Forest (10 estimators)-Gradient Boosting,5,madelon,0.2730769230769231,15.798300000000001
Decision Tree-Extra Tree-Logistic-Ridge,4,madelon,0.37384615384615383,9.699300000000001
Decision Tree-Extra Tree-Logistic-Ridge-BernoulliNB,5,madelon,0.37653846153846154,11.496399999999998
Decision Tree-Extra Tree-Logistic-Ridge-Extra Trees,5,madelon,0.35269230769230775,31.400000000000006
Decision Tree-Extra Tree-Logistic-Ridge-Gradient Boosting,5,madelon,0.31923076923076915,10.394400000000001
Decision Tree-Extra Tree-Logistic-Ridge-Linear Discriminant,5,madelon,0.42346153846153844,10.4003
Decision Tree-Extra Tree-Logistic-Ridge-Multi-layer Perceptron,5,madelon,0.38307692307692315,11.897900000000002
Decision Tree-Extra Tree-Logistic-Ridge-MultinomialNB,5,madelon,0.37346153846153846,10.598300000000002
Decision Tree-Extra Tree-Logistic-Ridge-Nearest Neighbors,5,madelon,0.32384615384615384,44.80290000000001
Decision Tree-Extra Tree-Logistic-Ridge-Quadratic Discriminant,5,madelon,0.37230769230769234,17.9023
Decision Tree-Extra Tree-Logistic-Ridge-Random Forest (10 estimators),5,madelon,0.3534615384615385,12.602900000000002
Decision Tree-Extra Tree-Logistic-Ridge-SGD,5,madelon,0.39538461538461545,9.5012
Decision Tree-Extra Tree-Logistic-SGD,4,madelon,0.36923076923076914,10.3
Decision Tree-Extra Tree-Logistic-SGD-BernoulliNB,5,madelon,0.37038461538461537,9.7976
Decision Tree-Extra Tree-Logistic-SGD-Extra Trees,5,madelon,0.34384615384615386,30.900500000000005
Decision Tree-Extra Tree-Logistic-SGD-Gradient Boosting,5,madelon,0.2984615384615384,10.7958
Decision Tree-Extra Tree-Logistic-SGD-Linear Discriminant,5,madelon,0.39538461538461545,11.0001
Decision Tree-Extra Tree-Logistic-SGD-Multi-layer Perceptron,5,madelon,0.38576923076923075,10.400500000000001
Decision Tree-Extra Tree-Logistic-SGD-MultinomialNB,5,madelon,0.36500000000000005,9.8005
Decision Tree-Extra Tree-Logistic-SGD-Nearest Neighbors,5,madelon,0.3046153846153846,44.7998
Decision Tree-Extra Tree-Logistic-SGD-Quadratic Discriminant,5,madelon,0.35807692307692307,18.3023
Decision Tree-Extra Tree-Logistic-SGD-Random Forest (10 estimators),5,madelon,0.33538461538461534,12.9021
Decision Tree-Extra Tree-Multi-layer Perceptron,3,madelon,0.3438461538461538,11.8991
Decision Tree-Extra Tree-Multi-layer Perceptron-BernoulliNB,4,madelon,0.36884615384615377,11.900200000000002
Decision Tree-Extra Tree-Multi-layer Perceptron-BernoulliNB-Extra Trees,5,madelon,0.3496153846153846,33.3013
Decision Tree-Extra Tree-Multi-layer Perceptron-BernoulliNB-Gradient Boosting,5,madelon,0.31,13.6975
Decision Tree-Extra Tree-Multi-layer Perceptron-BernoulliNB-MultinomialNB,5,madelon,0.3676923076923077,12.500699999999998
Decision Tree-Extra Tree-Multi-layer Perceptron-BernoulliNB-Nearest Neighbors,5,madelon,0.31346153846153846,43.3994
Decision Tree-Extra Tree-Multi-layer Perceptron-BernoulliNB-Random Forest (10 estimators),5,madelon,0.3465384615384616,14.101999999999999
Decision Tree-Extra Tree-Multi-layer Perceptron-Extra Trees,4,madelon,0.31884615384615383,33.6001
Decision Tree-Extra Tree-Multi-layer Perceptron-Extra Trees-Gradient Boosting,5,madelon,0.2776923076923077,32.6987
Decision Tree-Extra Tree-Multi-layer Perceptron-Extra Trees-Random Forest (10 estimators),5,madelon,0.30576923076923074,34.5007
Decision Tree-Extra Tree-Multi-layer Perceptron-Gradient Boosting,4,madelon,0.2784615384615385,12.3009
Decision Tree-Extra Tree-Multi-layer Perceptron-Linear Discriminant,4,madelon,0.3546153846153846,11.499600000000001
Decision Tree-Extra Tree-Multi-layer Perceptron-Linear Discriminant-BernoulliNB,5,madelon,0.37923076923076915,11.0962
Decision Tree-Extra Tree-Multi-layer Perceptron-Linear Discriminant-Extra Trees,5,madelon,0.3276923076923076,31.399399999999996
Decision Tree-Extra Tree-Multi-layer Perceptron-Linear Discriminant-Gradient Boosting,5,madelon,0.2953846153846154,13.0993
Decision Tree-Extra Tree-Multi-layer Perceptron-Linear Discriminant-MultinomialNB,5,madelon,0.3573076923076923,10.4015
Decision Tree-Extra Tree-Multi-layer Perceptron-Linear Discriminant-Nearest Neighbors,5,madelon,0.3030769230769231,44.697500000000005
Decision Tree-Extra Tree-Multi-layer Perceptron-Linear Discriminant-Quadratic Discriminant,5,madelon,0.3626923076923077,17.604499999999998
Decision Tree-Extra Tree-Multi-layer Perceptron-Linear Discriminant-Random Forest (10 estimators),5,madelon,0.3269230769230769,12.8005
Decision Tree-Extra Tree-Multi-layer Perceptron-MultinomialNB,4,madelon,0.3457692307692307,12.1006
Decision Tree-Extra Tree-Multi-layer Perceptron-MultinomialNB-Extra Trees,5,madelon,0.32576923076923076,32.9031
Decision Tree-Extra Tree-Multi-layer Perceptron-MultinomialNB-Gradient Boosting,5,madelon,0.29461538461538456,12.1994
Decision Tree-Extra Tree-Multi-layer Perceptron-MultinomialNB-Nearest Neighbors,5,madelon,0.29230769230769227,46.299800000000005
Decision Tree-Extra Tree-Multi-layer Perceptron-MultinomialNB-Random Forest (10 estimators),5,madelon,0.32307692307692304,14.197399999999998
Decision Tree-Extra Tree-Multi-layer Perceptron-Nearest Neighbors,4,madelon,0.29115384615384615,44.799099999999996
Decision Tree-Extra Tree-Multi-layer Perceptron-Nearest Neighbors-Extra Trees,5,madelon,0.2796153846153846,65.50019999999999
Decision Tree-Extra Tree-Multi-layer Perceptron-Nearest Neighbors-Gradient Boosting,5,madelon,0.2453846153846154,45.4942
Decision Tree-Extra Tree-Multi-layer Perceptron-Nearest Neighbors-Random Forest (10 estimators),5,madelon,0.2715384615384615,48.306099999999994
