ensembleDescription,k,dataset,errorRate,timeTaken
BernoulliNB,1,MiniBooNE,0.2242,96.9952
BernoulliNB-Extra Trees,2,MiniBooNE,0.14744,192.9276
BernoulliNB-Extra Trees-Gradient Boosting,3,MiniBooNE,0.07588,200.2033
BernoulliNB-Extra Trees-Random Forest (10 estimators),3,MiniBooNE,0.08112,200.39589999999998
BernoulliNB-Extra Trees-Random Forest (10 estimators)-Gradient Boosting,4,MiniBooNE,0.08071999999999999,204.54450000000003
BernoulliNB-Gradient Boosting,2,MiniBooNE,0.14796,104.1999
BernoulliNB-Nearest Neighbors,2,MiniBooNE,0.16608,1647.1699999999996
BernoulliNB-Nearest Neighbors-Extra Trees,3,MiniBooNE,0.09203999999999998,1872.9368
BernoulliNB-Nearest Neighbors-Extra Trees-Gradient Boosting,4,MiniBooNE,0.08512,1794.2608
BernoulliNB-Nearest Neighbors-Extra Trees-Random Forest (10 estimators),4,MiniBooNE,0.09076,1789.2181
BernoulliNB-Nearest Neighbors-Extra Trees-Random Forest (10 estimators)-Gradient Boosting,5,MiniBooNE,0.07608,1790.9814
BernoulliNB-Nearest Neighbors-Gradient Boosting,3,MiniBooNE,0.08940000000000001,1746.7038
BernoulliNB-Nearest Neighbors-Random Forest (10 estimators),3,MiniBooNE,0.09739999999999999,1727.0034
BernoulliNB-Nearest Neighbors-Random Forest (10 estimators)-Gradient Boosting,4,MiniBooNE,0.08992,1698.7688999999998
BernoulliNB-Random Forest (10 estimators),2,MiniBooNE,0.15324,108.2145
BernoulliNB-Random Forest (10 estimators)-Gradient Boosting,3,MiniBooNE,0.08004000000000001,107.70810000000002
Decision Tree,1,MiniBooNE,0.11931999999999998,91.63989999999998
Decision Tree-BernoulliNB,2,MiniBooNE,0.16599999999999998,93.1008
Decision Tree-BernoulliNB-Extra Trees,3,MiniBooNE,0.09064,188.56689999999998
Decision Tree-BernoulliNB-Extra Trees-Gradient Boosting,4,MiniBooNE,0.08532,199.25300000000001
Decision Tree-BernoulliNB-Extra Trees-Random Forest (10 estimators),4,MiniBooNE,0.0914,198.32610000000003
Decision Tree-BernoulliNB-Extra Trees-Random Forest (10 estimators)-Gradient Boosting,5,MiniBooNE,0.07532,197.5914
Decision Tree-BernoulliNB-Gradient Boosting,3,MiniBooNE,0.08868000000000001,102.69489999999999
Decision Tree-BernoulliNB-Nearest Neighbors,3,MiniBooNE,0.10719999999999999,1641.0366999999999
Decision Tree-BernoulliNB-Nearest Neighbors-Extra Trees,4,MiniBooNE,0.09712,1765.3989000000001
Decision Tree-BernoulliNB-Nearest Neighbors-Extra Trees-Gradient Boosting,5,MiniBooNE,0.07651999999999999,1715.9461000000003
Decision Tree-BernoulliNB-Nearest Neighbors-Extra Trees-Random Forest (10 estimators),5,MiniBooNE,0.08120000000000001,1711.8861000000002
Decision Tree-BernoulliNB-Nearest Neighbors-Gradient Boosting,4,MiniBooNE,0.09552000000000001,1759.2411
Decision Tree-BernoulliNB-Nearest Neighbors-Random Forest (10 estimators),4,MiniBooNE,0.10172,1702.6745999999998
Decision Tree-BernoulliNB-Nearest Neighbors-Random Forest (10 estimators)-Gradient Boosting,5,MiniBooNE,0.07924,1646.5204999999999
Decision Tree-BernoulliNB-Random Forest (10 estimators),3,MiniBooNE,0.09656,105.2049
Decision Tree-BernoulliNB-Random Forest (10 estimators)-Gradient Boosting,4,MiniBooNE,0.08956,111.19740000000002
Decision Tree-Extra Tree,2,MiniBooNE,0.12887999999999997,93.9037
Decision Tree-Extra Tree-BernoulliNB,3,MiniBooNE,0.1162,96.95430000000002
Decision Tree-Extra Tree-BernoulliNB-Extra Trees,4,MiniBooNE,0.1026,189.897
Decision Tree-Extra Tree-BernoulliNB-Extra Trees-Gradient Boosting,5,MiniBooNE,0.07712,190.1995
Decision Tree-Extra Tree-BernoulliNB-Extra Trees-Random Forest (10 estimators),5,MiniBooNE,0.08144,196.71249999999998
Decision Tree-Extra Tree-BernoulliNB-Gradient Boosting,4,MiniBooNE,0.10108000000000002,101.8515
Decision Tree-Extra Tree-BernoulliNB-Nearest Neighbors,4,MiniBooNE,0.11527999999999998,1671.6740000000002
Decision Tree-Extra Tree-BernoulliNB-Nearest Neighbors-Extra Trees,5,MiniBooNE,0.08632000000000001,1754.4731
Decision Tree-Extra Tree-BernoulliNB-Nearest Neighbors-Gradient Boosting,5,MiniBooNE,0.0846,1675.8216000000004
Decision Tree-Extra Tree-BernoulliNB-Nearest Neighbors-Random Forest (10 estimators),5,MiniBooNE,0.08964000000000001,1728.1574
Decision Tree-Extra Tree-BernoulliNB-Random Forest (10 estimators),4,MiniBooNE,0.10776,107.6154
Decision Tree-Extra Tree-BernoulliNB-Random Forest (10 estimators)-Gradient Boosting,5,MiniBooNE,0.08004,113.8029
Decision Tree-Extra Tree-Extra Trees,3,MiniBooNE,0.08320000000000001,160.9817
Decision Tree-Extra Tree-Extra Trees-Gradient Boosting,4,MiniBooNE,0.07959999999999999,160.52089999999998
Decision Tree-Extra Tree-Extra Trees-Random Forest (10 estimators),4,MiniBooNE,0.08375999999999999,165.4757
Decision Tree-Extra Tree-Extra Trees-Random Forest (10 estimators)-Gradient Boosting,5,MiniBooNE,0.07336000000000001,166.4409
Decision Tree-Extra Tree-Gradient Boosting,3,MiniBooNE,0.0824,77.27810000000001
Decision Tree-Extra Tree-Linear Discriminant,3,MiniBooNE,0.0918,98.32549999999999
Decision Tree-Extra Tree-Linear Discriminant-BernoulliNB,4,MiniBooNE,0.11044000000000002,102.2025
Decision Tree-Extra Tree-Linear Discriminant-BernoulliNB-Extra Trees,5,MiniBooNE,0.0856,188.23970000000003
Decision Tree-Extra Tree-Linear Discriminant-BernoulliNB-Gradient Boosting,5,MiniBooNE,0.08452000000000001,108.78330000000001
Decision Tree-Extra Tree-Linear Discriminant-BernoulliNB-Nearest Neighbors,5,MiniBooNE,0.0932,1688.8453000000002
Decision Tree-Extra Tree-Linear Discriminant-BernoulliNB-Random Forest (10 estimators),5,MiniBooNE,0.08868000000000001,107.7772
Decision Tree-Extra Tree-Linear Discriminant-Extra Trees,4,MiniBooNE,0.08656,192.39550000000003
Decision Tree-Extra Tree-Linear Discriminant-Extra Trees-Gradient Boosting,5,MiniBooNE,0.0752,198.9377
Decision Tree-Extra Tree-Linear Discriminant-Extra Trees-Random Forest (10 estimators),5,MiniBooNE,0.07788,202.3877
Decision Tree-Extra Tree-Linear Discriminant-Gradient Boosting,4,MiniBooNE,0.08524,100.87650000000001
Decision Tree-Extra Tree-Linear Discriminant-Nearest Neighbors,4,MiniBooNE,0.09759999999999999,1679.7521000000002
Decision Tree-Extra Tree-Linear Discriminant-Nearest Neighbors-Extra Trees,5,MiniBooNE,0.08016000000000001,1775.9517999999996
Decision Tree-Extra Tree-Linear Discriminant-Nearest Neighbors-Gradient Boosting,5,MiniBooNE,0.07844,1736.9651999999999
Decision Tree-Extra Tree-Linear Discriminant-Nearest Neighbors-Random Forest (10 estimators),5,MiniBooNE,0.08236,1752.6555
Decision Tree-Extra Tree-Linear Discriminant-Quadratic Discriminant,4,MiniBooNE,0.0894,107.63840000000002
Decision Tree-Extra Tree-Linear Discriminant-Quadratic Discriminant-BernoulliNB,5,MiniBooNE,0.0958,101.18180000000001
Decision Tree-Extra Tree-Linear Discriminant-Quadratic Discriminant-Extra Trees,5,MiniBooNE,0.07972,200.7948
Decision Tree-Extra Tree-Linear Discriminant-Quadratic Discriminant-Gradient Boosting,5,MiniBooNE,0.07884,104.70009999999999
Decision Tree-Extra Tree-Linear Discriminant-Quadratic Discriminant-Nearest Neighbors,5,MiniBooNE,0.08664000000000001,1671.5016
Decision Tree-Extra Tree-Linear Discriminant-Quadratic Discriminant-Random Forest (10 estimators),5,MiniBooNE,0.08168,109.79560000000001
Decision Tree-Extra Tree-Linear Discriminant-Random Forest (10 estimators),4,MiniBooNE,0.09032,101.25749999999998
Decision Tree-Extra Tree-Linear Discriminant-Random Forest (10 estimators)-Gradient Boosting,5,MiniBooNE,0.07712000000000001,107.33779999999999
Decision Tree-Extra Tree-Logistic,3,MiniBooNE,0.10912000000000002,98.3056
Decision Tree-Extra Tree-Logistic-BernoulliNB,4,MiniBooNE,0.1316,99.16209999999998
Decision Tree-Extra Tree-Logistic-BernoulliNB-Extra Trees,5,MiniBooNE,0.09608,208.5661
Decision Tree-Extra Tree-Logistic-BernoulliNB-Gradient Boosting,5,MiniBooNE,0.09512000000000001,107.6122
Decision Tree-Extra Tree-Logistic-BernoulliNB-Nearest Neighbors,5,MiniBooNE,0.10751999999999999,1791.9597
Decision Tree-Extra Tree-Logistic-BernoulliNB-Random Forest (10 estimators),5,MiniBooNE,0.10036,112.2624
Decision Tree-Extra Tree-Logistic-Extra Trees,4,MiniBooNE,0.1026,193.4921
Decision Tree-Extra Tree-Logistic-Extra Trees-Gradient Boosting,5,MiniBooNE,0.07832,200.74069999999998
Decision Tree-Extra Tree-Logistic-Extra Trees-Random Forest (10 estimators),5,MiniBooNE,0.0824,203.28289999999998
Decision Tree-Extra Tree-Logistic-Gradient Boosting,4,MiniBooNE,0.10052000000000001,109.87620000000001
Decision Tree-Extra Tree-Logistic-Linear Discriminant,4,MiniBooNE,0.11036000000000001,99.41080000000001
