ensembleDescription,k,dataset,errorRate,timeTaken
BernoulliNB,1,vehicle,0.7587815126050421,2.5050999999999997
BernoulliNB-Extra Trees,2,vehicle,0.5180392156862745,17.7943
BernoulliNB-Extra Trees-Gradient Boosting,3,vehicle,0.2601540616246499,18.1998
BernoulliNB-Extra Trees-Random Forest (10 estimators),3,vehicle,0.2731792717086835,18.7007
BernoulliNB-Extra Trees-Random Forest (10 estimators)-Gradient Boosting,4,vehicle,0.24228291316526612,22.9021
BernoulliNB-Gradient Boosting,2,vehicle,0.5015686274509805,4.4033
BernoulliNB-MultinomialNB,2,vehicle,0.7329411764705882,3.2993
BernoulliNB-MultinomialNB-Extra Trees,3,vehicle,0.31824929971988797,16.7529
BernoulliNB-MultinomialNB-Extra Trees-Gradient Boosting,4,vehicle,0.25306722689075634,19.6
BernoulliNB-MultinomialNB-Extra Trees-Random Forest (10 estimators),4,vehicle,0.26368347338935577,19.9984
BernoulliNB-MultinomialNB-Extra Trees-Random Forest (10 estimators)-Gradient Boosting,5,vehicle,0.2458823529411765,20.3939
BernoulliNB-MultinomialNB-Gradient Boosting,3,vehicle,0.31238095238095237,4.2003
BernoulliNB-MultinomialNB-Nearest Neighbors,3,vehicle,0.4008403361344538,6.7009
BernoulliNB-MultinomialNB-Nearest Neighbors-Extra Trees,4,vehicle,0.3121288515406162,28.190600000000007
BernoulliNB-MultinomialNB-Nearest Neighbors-Extra Trees-Gradient Boosting,5,vehicle,0.2684873949579832,23.912799999999997
BernoulliNB-MultinomialNB-Nearest Neighbors-Extra Trees-Random Forest (10 estimators),5,vehicle,0.2790476190476191,21.4953
BernoulliNB-MultinomialNB-Nearest Neighbors-Gradient Boosting,4,vehicle,0.29915966386554615,9.105099999999998
BernoulliNB-MultinomialNB-Nearest Neighbors-Random Forest (10 estimators),4,vehicle,0.3192436974789915,10.395
BernoulliNB-MultinomialNB-Nearest Neighbors-Random Forest (10 estimators)-Gradient Boosting,5,vehicle,0.26837535014005603,12.1004
BernoulliNB-MultinomialNB-Random Forest (10 estimators),3,vehicle,0.3324649859943978,5.1030999999999995
BernoulliNB-MultinomialNB-Random Forest (10 estimators)-Gradient Boosting,4,vehicle,0.256624649859944,6.6998999999999995
BernoulliNB-Nearest Neighbors,2,vehicle,0.5818207282913165,8.1028
BernoulliNB-Nearest Neighbors-Extra Trees,3,vehicle,0.3286834733893557,20.694800000000004
BernoulliNB-Nearest Neighbors-Extra Trees-Gradient Boosting,4,vehicle,0.26250700280112044,24.2954
BernoulliNB-Nearest Neighbors-Extra Trees-Random Forest (10 estimators),4,vehicle,0.28376750700280107,26.805199999999996
BernoulliNB-Nearest Neighbors-Extra Trees-Random Forest (10 estimators)-Gradient Boosting,5,vehicle,0.26004201680672273,23.8029
BernoulliNB-Nearest Neighbors-Gradient Boosting,3,vehicle,0.32752100840336135,9.194599999999998
BernoulliNB-Nearest Neighbors-Random Forest (10 estimators),3,vehicle,0.3405462184873949,8.4048
BernoulliNB-Nearest Neighbors-Random Forest (10 estimators)-Gradient Boosting,4,vehicle,0.2695238095238095,13.600799999999998
BernoulliNB-Random Forest (10 estimators),2,vehicle,0.5121708683473389,5.3029
BernoulliNB-Random Forest (10 estimators)-Gradient Boosting,3,vehicle,0.2636834733893557,6.5003
Decision Tree,1,vehicle,0.2885574229691877,2.3895
Decision Tree-BernoulliNB,2,vehicle,0.5276190476190477,3.6003
Decision Tree-BernoulliNB-Extra Trees,3,vehicle,0.3028151260504201,16.395400000000002
